run,trial_idx,a_state,b_state,b_direction,prompt_ts,start_ts,end_ts,duration_sec,n_samples,mean_alpha,mean_tbr,mean_ei,blink_count
1,0,attention,rest,left,1787131106.014557,1787131111.050726,1787131131.877492,20.826766,41,35.086399,10.923363,0.385108,0
1,1,rest,rest,left,1787131131.877492,1787131137.039582,1787131157.100412,20.060831,41,2136.222241,18.601159,0.110888,0
1,2,attention,rest,left,1787131157.100412,1787131162.436816,1787131182.850195,20.413379,40,28.671914,10.470993,0.252118,0
1,3,rest,rest,left,1787131182.850195,1787131187.943354,1787131208.099027,20.155674,39,21448.989168,36.061898,0.061827,0
1,4,attention,rest,left,1787131208.099027,1787131213.245363,1787131233.35,20.104637,39,45.029253,9.187718,0.199841,0
1,5,rest,rest,left,1787131233.35,1787131238.650071,1787131258.998703,20.348632,42,68.950961,15.78403,0.198615,0
1,6,attention,rest,left,1787131258.998703,1787131264.878206,1787131285.073324,20.195118,42,41.870068,7.992912,0.211042,0
1,7,rest,rest,left,1787131285.073324,1787131290.09852,1787131310.499404,20.400883,40,265.104592,22.624333,0.10279,0
1,8,attention,rest,left,1787131310.499404,1787131315.849513,1787131336.249494,20.399981,40,43.095227,7.28694,0.182706,0
1,9,rest,rest,left,1787131336.249494,1787131341.328297,1787131361.450211,20.121914,41,9414.640471,50.255965,0.067638,0
1,10,attention,rest,left,1787131361.450211,1787131366.647527,1787131386.698246,20.050719,41,432.467048,9.203761,0.243168,0
1,11,rest,rest,left,1787131386.698246,1787131391.776667,1787131411.947207,20.170541,39,144.812306,20.078287,0.077355,0
1,12,attention,rest,left,1787131411.947207,1787131417.092508,1787131437.199349,20.106841,39,25.029744,5.300281,0.208781,0
1,13,rest,rest,left,1787131437.199349,1787131442.549405,1787131462.899586,20.350181,42,368.368303,27.048049,0.099308,0
1,14,attention,rest,left,1787131462.899586,1787131468.250622,1787131488.59856,20.347938,42,29.478528,4.753994,0.245947,0
1,15,rest,rest,left,1787131488.59856,1787131493.70877,1787131513.878818,20.170048,39,21785.912103,53.563174,0.059161,0
1,16,attention,rest,left,1787131513.878818,1787131519.039264,1787131539.150534,20.111269,39,32.109348,5.864349,0.356363,0
1,17,rest,rest,left,1787131539.150534,1787131544.449889,1787131564.698617,20.248728,40,175.091695,17.506419,0.112841,0
1,18,attention,rest,left,1787131564.698617,1787131569.732987,1787131589.806744,20.073757,42,24.302135,4.059617,0.368876,0
1,19,rest,rest,left,1787131589.806744,1787131594.899526,1787131614.949456,20.04993,39,414.46206,22.032463,0.065983,0
