run,trial_idx,a_state,b_state,b_direction,prompt_ts,start_ts,end_ts,duration_sec,n_samples,mean_alpha,mean_tbr,mean_ei,blink_count
1,0,rest,attention,left,1787150195.580429,1787150200.868231,1787150220.968271,20.10004,42,525.186872,8.371279,0.249465,1
1,1,rest,rest,right,1787150220.968271,1787150226.178249,1787150246.274677,20.096427,42,45.006328,15.921484,0.103821,0
1,2,rest,attention,right,1787150246.274677,1787150251.356927,1787150271.467326,20.110399,39,27.840405,4.71478,0.294813,1
1,3,rest,rest,left,1787150271.467326,1787150276.469575,1787150296.653674,20.184099,39,2241.825798,15.512172,0.093759,4
1,4,rest,attention,left,1787150296.653674,1787150301.765657,1787150321.796277,20.03062,42,37.982668,6.211452,0.186111,1
1,5,rest,rest,right,1787150321.796277,1787150327.268187,1787150347.368532,20.100345,42,430.521225,22.629392,0.076026,6
1,6,rest,attention,right,1787150347.368532,1787150352.549808,1787150372.724655,20.174847,39,121.664966,11.169765,0.193703,1
1,7,rest,rest,left,1787150372.724655,1787150377.790092,1787150397.959839,20.169747,39,511.437337,18.407051,0.090832,3
1,8,rest,attention,left,1787150397.959839,1787150402.968968,1787150423.468128,20.49916,43,55.055885,6.521066,0.209698,2
1,9,rest,rest,right,1787150423.468128,1787150428.752288,1787150448.817957,20.065669,42,163.898322,12.877494,0.089906,4
1,10,rest,attention,right,1787150448.817957,1787150453.840759,1787150473.995436,20.154677,39,98.99731,12.030935,0.252651,1
1,11,rest,rest,left,1787150473.995436,1787150479.41905,1787150499.717613,20.298563,39,366.290507,13.518195,0.102793,5
1,12,rest,attention,left,1787150499.717613,1787150504.848504,1787150524.86928,20.020776,42,1771.967092,9.44766,0.192506,2
1,13,rest,rest,right,1787150524.86928,1787150530.090991,1787150550.19121,20.100219,42,1131.319997,15.133387,0.105681,6
1,14,rest,attention,right,1787150550.19121,1787150555.518163,1787150575.718314,20.200151,39,44.749895,6.670325,0.184027,1
1,15,rest,rest,left,1787150575.718314,1787150580.803638,1787150601.128985,20.325347,39,3127.526444,13.96471,0.100197,6
1,16,rest,attention,left,1787150601.128985,1787150606.360525,1787150626.368169,20.007644,42,1189.900951,12.84387,0.162567,1
1,17,rest,rest,right,1787150626.368169,1787150631.368192,1787150651.718991,20.350799,43,6971.002729,20.360219,0.057833,7
1,18,rest,attention,left,1787150651.718991,1787150656.893272,1787150677.004845,20.111573,39,32.579008,8.22157,0.193573,1
1,19,rest,rest,right,1787150677.004845,1787150682.104995,1787150702.300219,20.195224,39,5094.875398,12.171529,0.09796,6
