run,trial_idx,phase,wall_ts,a_state,b_state,b_direction
1,0,prompt,1787048936.339665,attention,rest,left
1,1,prompt,1787048961.60169,rest,rest,left
1,2,prompt,1787048987.092407,attention,rest,left
1,3,prompt,1787049012.328483,rest,rest,left
1,4,prompt,1787049037.602459,attention,rest,left
1,5,prompt,1787049063.152843,rest,rest,left
1,6,prompt,1787049088.652564,attention,rest,left
1,7,prompt,1787049113.701552,rest,rest,left
1,8,prompt,1787049138.727493,attention,rest,left
1,9,prompt,1787049164.404181,rest,rest,left
1,10,prompt,1787049190.010862,attention,rest,left
1,11,prompt,1787049215.512088,rest,rest,left
1,12,prompt,1787049241.026781,attention,rest,left
1,13,prompt,1787049266.352401,rest,rest,left
1,14,prompt,1787049291.850679,attention,rest,left
1,15,prompt,1787049316.904208,rest,rest,left
1,16,prompt,1787049342.325903,attention,rest,left
1,17,prompt,1787049367.456902,rest,rest,left
1,18,prompt,1787049392.952562,attention,rest,left
1,19,prompt,1787049418.000755,rest,rest,left
