run,trial_idx,a_state,b_state,b_direction,prompt_ts,start_ts,end_ts,duration_sec,n_samples,mean_alpha,mean_tbr,mean_ei,blink_count
1,0,attention,rest,left,1787049722.911063,1787049727.941181,1787049748.009336,20.068156,41,50.010659,2.147822,0.737604,0
1,1,rest,rest,left,1787049748.009336,1787049753.332191,1787049773.490745,20.158554,40,591535.307824,6.137691,0.233035,0
1,2,attention,rest,left,1787049773.490745,1787049778.830293,1787049798.990595,20.160302,40,90.246946,1.919239,0.488565,0
1,3,rest,rest,left,1787049798.990595,1787049803.991745,1787049824.113062,20.121317,41,8369.356478,3.835911,0.600893,0
1,4,attention,rest,left,1787049824.113062,1787049829.540206,1787049849.540525,20.000319,40,747.642405,25.617318,0.429811,0
1,5,rest,rest,left,1787049849.540525,1787049855.091677,1787049875.096746,20.005068,41,2301.54588,11.228928,0.170597,0
1,6,attention,rest,left,1787049875.096746,1787049880.1425,1787049900.325772,20.183272,41,11530.291997,1.952111,0.567006,0
1,7,rest,rest,left,1787049900.325772,1787049905.518267,1787049925.63894,20.120673,40,337.496256,6.202931,0.251557,0
1,8,attention,rest,left,1787049925.63894,1787049930.639339,1787049950.641576,20.002237,40,131.10705,1.413652,0.655149,0
1,9,rest,rest,left,1787049950.641576,1787049955.822039,1787049976.02787,20.205831,40,19398.998535,4.466543,0.589109,0
1,10,attention,rest,left,1787049976.02787,1787049981.189882,1787050001.519977,20.330095,41,29922.971041,3.013577,0.765089,0
1,11,rest,rest,left,1787050001.519977,1787050006.691859,1787050026.736125,20.044266,40,10247.8603,8.279161,0.195941,0
1,12,attention,rest,left,1787050026.736125,1787050031.742384,1787050051.840254,20.097869,41,63.675028,1.66529,0.494218,0
1,13,rest,rest,left,1787050051.840254,1787050057.017528,1787050077.289128,20.2716,40,288781.112254,7.091093,0.495484,0
1,14,attention,rest,left,1787050077.289128,1787050082.34042,1787050102.341732,20.001312,40,1135.416539,1.584571,0.810142,0
1,15,rest,rest,left,1787050102.341732,1787050107.729545,1787050127.843781,20.114235,40,37045.996667,7.892833,0.318832,0
1,16,attention,rest,left,1787050127.843781,1787050132.889538,1787050152.890129,20.000591,40,4438.907336,1.849958,0.461218,0
1,17,rest,rest,left,1787050152.890129,1787050157.941008,1787050178.098694,20.157686,41,1176.719503,11.767198,0.134496,0
1,18,attention,rest,left,1787050178.098694,1787050183.441307,1787050203.49008,20.048773,40,55.236503,1.951207,0.460292,0
1,19,rest,rest,left,1787050203.49008,1787050208.515775,1787050228.832862,20.317087,40,1494.329371,4.945334,0.486364,0
