trial_idx,phase,wall_ts,a_state,b_state,b_direction
0,prompt,1786954079.380573,rest,attention,left
1,prompt,1786954104.599961,rest,rest,right
2,prompt,1786954129.983055,rest,attention,right
3,prompt,1786954155.183563,rest,rest,left
4,prompt,1786954180.483401,rest,attention,left
5,prompt,1786954205.735416,rest,rest,right
6,prompt,1786954230.935401,rest,attention,right
7,prompt,1786954256.471586,rest,rest,left
8,prompt,1786954281.833881,rest,attention,left
9,prompt,1786954307.243698,rest,rest,right
0,prompt,1786954562.500728,rest,attention,left
1,prompt,1786954587.992751,rest,rest,right
2,prompt,1786954613.208629,rest,attention,right
3,prompt,1786954638.510489,rest,rest,left
4,prompt,1786954663.759359,rest,attention,left
5,prompt,1786954689.009817,rest,rest,right
0,prompt,1786954783.28769,rest,attention,left
1,prompt,1786954808.504034,rest,rest,right
2,prompt,1786954833.965539,rest,attention,right
0,prompt,1786954863.759493,rest,attention,left
1,prompt,1786954889.397088,rest,rest,right
2,prompt,1786954915.154306,rest,attention,right
3,prompt,1786954940.330042,rest,rest,left
4,prompt,1786954974.180944,rest,attention,left
0,prompt,1786955038.034793,rest,attention,left
1,prompt,1786955063.381177,rest,rest,right
0,prompt,1786955080.557731,rest,attention,left
1,prompt,1786955106.316965,rest,rest,right
2,prompt,1786955131.991363,rest,attention,right
3,prompt,1786955157.277408,rest,rest,left
4,prompt,1786955182.442908,rest,attention,left
5,prompt,1786955208.747536,rest,rest,right
6,prompt,1786955233.986172,rest,attention,right
7,prompt,1786955259.278246,rest,rest,left
8,prompt,1786955284.377057,rest,attention,left
9,prompt,1786955309.890307,rest,rest,right
0,prompt,1786955318.8611,rest,attention,left
1,prompt,1786955344.532252,rest,rest,right
2,prompt,1786955370.378298,rest,attention,right
3,prompt,1786955396.101087,rest,rest,left
4,prompt,1786955421.31586,rest,attention,left
5,prompt,1786955446.475742,rest,rest,right
6,prompt,1786955472.316579,rest,attention,right
7,prompt,1786955498.004035,rest,rest,left
8,prompt,1786955523.165231,rest,attention,left
9,prompt,1786955548.408104,rest,rest,right
10,prompt,1786955574.179379,rest,attention,right
11,prompt,1786955599.515335,rest,rest,left
12,prompt,1786955624.919016,rest,attention,left
13,prompt,1786955650.336865,rest,rest,right
14,prompt,1786955675.852775,rest,attention,right
15,prompt,1786955701.09097,rest,rest,left
16,prompt,1786955726.332452,rest,attention,left
17,prompt,1786955751.839165,rest,rest,right
18,prompt,1786955777.065522,rest,attention,right
19,prompt,1786955802.362908,rest,rest,left
20,prompt,1786955828.047897,rest,attention,left
21,prompt,1786955853.314662,rest,rest,right
22,prompt,1786955878.453377,rest,attention,right
23,prompt,1786955905.19757,rest,rest,left
24,prompt,1786955930.465455,rest,attention,left
25,prompt,1786955955.816631,rest,rest,right
26,prompt,1786955981.427273,rest,attention,right
27,prompt,1786956007.170813,rest,rest,left
28,prompt,1786956032.414443,rest,attention,left
29,prompt,1786956058.082048,rest,rest,right
