trial_idx,a_state,b_state,b_direction,prompt_ts,start_ts,end_ts,duration_sec,n_samples,mean_alpha,mean_tbr,mean_ei,blink_count
0,rest,attention,left,1786954079.380573,1786954084.553918,1786954104.599961,20.046043,41,180.087107,19.489494,0.129068,4
1,rest,rest,right,1786954104.599961,1786954109.631907,1786954129.983055,20.351148,40,409.598808,12.573793,0.155814,3
2,rest,attention,right,1786954129.983055,1786954135.103653,1786954155.183563,20.07991,39,77.504419,8.793837,0.157779,2
3,rest,rest,left,1786954155.183563,1786954160.363806,1786954180.483401,20.119595,41,1293.079084,24.698354,0.097342,6
4,rest,attention,left,1786954180.483401,1786954185.732853,1786954205.735416,20.002563,41,410.160816,25.314912,0.054872,7
5,rest,rest,right,1786954205.735416,1786954210.919186,1786954230.935401,20.016215,39,290.751842,35.668846,0.048074,7
6,rest,attention,right,1786954230.935401,1786954236.283288,1786954256.471586,20.188298,40,197.111475,30.303434,0.098264,5
7,rest,rest,left,1786954256.471586,1786954261.483761,1786954281.833881,20.35012,40,279904.70071,26.498201,0.048621,7
8,rest,attention,left,1786954281.833881,1786954287.185628,1786954307.243698,20.05807,42,415.704494,40.116599,0.026461,7
0,rest,attention,left,1786954562.500728,1786954567.660695,1786954587.992751,20.332056,40,741.975557,18.267012,0.062987,0
1,rest,rest,right,1786954587.992751,1786954592.998466,1786954613.208629,20.210163,39,11176.804662,24.8784,0.091189,3
2,rest,attention,right,1786954613.208629,1786954618.497569,1786954638.510489,20.01292,41,15355.194129,21.149477,0.064178,1
3,rest,rest,left,1786954638.510489,1786954643.541216,1786954663.759359,20.218142,39,40872.032203,19.764398,0.067593,3
4,rest,attention,left,1786954663.759359,1786954668.998045,1786954689.009817,20.011772,39,17971.330975,11.964838,0.109503,1
0,rest,attention,left,1786954783.28769,1786954788.357652,1786954808.504034,20.146381,42,381.453754,15.509976,0.109048,0
1,rest,rest,right,1786954808.504034,1786954813.556459,1786954833.965539,20.40908,32,483.028107,15.262189,0.100407,2
0,rest,attention,left,1786954863.759493,1786954868.980985,1786954889.397088,20.416103,40,207954.723367,13.47922,0.128519,2
1,rest,rest,right,1786954889.397088,1786954894.731436,1786954915.154306,20.42287,40,352446.346682,38.441366,0.047326,4
2,rest,attention,right,1786954915.154306,1786954920.196518,1786954940.330042,20.133523,41,218.954521,13.408635,0.130512,1
3,rest,rest,left,1786954940.330042,1786954945.603607,1786954974.180944,28.577338,19,28245.414767,28.478571,0.107033,2
0,rest,attention,left,1786955038.034793,1786955043.322256,1786955063.381177,20.058921,21,884.551498,9.645319,0.155599,2
0,rest,attention,left,1786955080.557731,1786955085.906646,1786955106.316965,20.410318,42,130.016032,21.933318,0.14675,1
1,rest,rest,right,1786955106.316965,1786955111.628724,1786955131.991363,20.362639,42,302.74349,20.356345,0.114032,4
2,rest,attention,right,1786955131.991363,1786955137.049045,1786955157.277408,20.228363,39,56.164411,11.65775,0.11562,1
3,rest,rest,left,1786955157.277408,1786955162.332391,1786955182.442908,20.110517,39,409.81515,37.00682,0.096066,1
4,rest,attention,left,1786955182.442908,1786955187.850054,1786955208.747536,20.897482,41,68.345175,8.642938,0.141436,0
5,rest,rest,right,1786955208.747536,1786955213.790672,1786955233.986172,20.1955,41,408949.851492,26.708767,0.176925,8
6,rest,attention,right,1786955233.986172,1786955239.050777,1786955259.278246,20.227469,39,1319.173663,12.157497,0.118271,5
7,rest,rest,left,1786955259.278246,1786955264.3365,1786955284.377057,20.040557,22,154.468362,18.880965,0.094223,2
8,rest,attention,left,1786955284.377057,1786955289.781713,1786955309.890307,20.108594,40,4662.087674,42.137009,0.130352,0
