trial_idx,a_state,b_state,b_direction,trial_start_ts,trial_end_ts,row_ts,frame_ts,cmd_vel_ts,source,role,alpha,theta,beta,tbr,ei,speed_intent,steer_intent,steer_direction,cmd_lin,cmd_ang,is_blink,latency_ms
14,rest,attention,right,1786979054.722832,1786979074.884938,1786979055.135038,1786979055.134336,1786979055.134378,lsl_raw,steering,11.391068,9.645706,12.513149,0.770846,0.594823,0.088775,0.5,1,0.0,0.0,1,0.66
14,rest,attention,right,1786979054.722832,1786979074.884938,1786979055.585146,1786979055.584373,1786979055.584419,lsl_raw,steering,75.023512,918.574913,15.657367,0.770846,0.594823,0.088775,0.5,1,0.0,0.0,0,0.727
14,rest,attention,right,1786979054.722832,1786979074.884938,1786979056.086034,1786979056.084776,1786979056.085469,lsl_raw,steering,50.884831,412.921404,16.231098,0.770846,0.594823,0.088775,0.5,-1,0.0,0.0,1,0.565
14,rest,attention,right,1786979054.722832,1786979074.884938,1786979056.585024,1786979056.584446,1786979056.584468,lsl_raw,steering,31.335308,148.20344,24.051235,0.770846,0.594823,0.088775,0.5,-1,0.0,0.0,0,0.556
14,rest,attention,right,1786979054.722832,1786979074.884938,1786979057.035009,1786979057.034433,1786979057.034465,lsl_raw,steering,15.603305,34.740324,22.865031,0.770846,0.594823,0.088775,0.5,-1,0.0,0.0,0,0.544
14,rest,attention,right,1786979054.722832,1786979074.884938,1786979057.534569,1786979057.53403,1786979057.534053,lsl_raw,steering,31.42258,96.17075,26.793408,0.770846,0.594823,0.088775,0.5,-1,0.0,0.0,0,0.516
14,rest,attention,right,1786979054.722832,1786979074.884938,1786979058.035629,1786979058.034841,1786979058.034883,lsl_raw,steering,891.105602,11328.569947,115.690688,97.921191,0.009468,0.0,0.5,-1,0.0,0.0,0,0.745
14,rest,attention,right,1786979054.722832,1786979074.884938,1786979058.48589,1786979058.485044,1786979058.485089,lsl_raw,steering,92.906047,1279.639251,30.531012,97.921191,0.009468,0.0,0.5,-1,0.0,0.0,0,0.801
14,rest,attention,right,1786979054.722832,1786979074.884938,1786979058.985008,1786979058.984484,1786979058.984516,lsl_raw,steering,18.697257,75.01397,20.896387,3.589806,0.222987,0.0,0.5,-1,0.0,0.0,0,0.492
14,rest,attention,right,1786979054.722832,1786979074.884938,1786979059.48543,1786979059.484687,1786979059.484726,lsl_raw,steering,27.098967,42.386261,18.900703,2.242576,0.27201,0.0,0.5,-1,0.0,0.0,0,0.704
14,rest,attention,right,1786979054.722832,1786979074.884938,1786979059.935429,1786979059.934609,1786979059.934653,lsl_raw,steering,18.102846,48.624351,23.140874,2.101232,0.346798,0.0,0.5,-1,0.0,0.0,0,0.775
14,rest,attention,right,1786979054.722832,1786979074.884938,1786979060.43559,1786979060.434659,1786979060.434705,lsl_raw,steering,30.928786,64.877326,31.854511,2.036676,0.332489,0.0,0.5,-1,0.0,0.0,0,0.885
14,rest,attention,right,1786979054.722832,1786979074.884938,1786979060.884912,1786979060.884439,1786979060.884472,lsl_raw,steering,174.207027,1368.053684,33.718887,2.036676,0.332489,0.0,0.5,-1,0.0,0.0,0,0.44
14,rest,attention,right,1786979054.722832,1786979074.884938,1786979061.384957,1786979061.384009,1786979061.384489,lsl_raw,steering,388.103076,13027.059835,205.790871,2.036676,0.332489,0.0,0.5,1,0.0,0.0,1,0.468
14,rest,attention,right,1786979054.722832,1786979074.884938,1786979061.885504,1786979061.884947,1786979061.884973,lsl_raw,steering,16.477932,283.847489,19.115827,2.036676,0.332489,0.0,0.5,1,0.0,0.0,0,0.531
14,rest,attention,right,1786979054.722832,1786979074.884938,1786979062.335057,1786979062.334545,1786979062.334572,lsl_raw,steering,10.404221,32.577503,30.213085,2.036676,0.332489,0.0,0.5,1,0.0,0.0,0,0.486
14,rest,attention,right,1786979054.722832,1786979074.884938,1786979062.835149,1786979062.834504,1786979062.834535,lsl_raw,steering,33.623907,122.422634,26.224935,2.036676,0.332489,0.0,0.5,1,0.0,0.0,0,0.614
14,rest,attention,right,1786979054.722832,1786979074.884938,1786979063.335473,1786979063.3347,1786979063.334739,lsl_raw,steering,24.605665,160.631704,22.829923,7.036016,0.123247,0.0,0.5,1,0.0,0.0,0,0.734
14,rest,attention,right,1786979054.722832,1786979074.884938,1786979065.185618,1786979065.185017,1786979065.185062,lsl_raw,steering,16.163881,27.544085,25.94628,1.061581,0.593628,0.0,0.5,1,0.0,0.0,0,0.556
14,rest,attention,right,1786979054.722832,1786979074.884938,1786979065.68545,1786979065.684924,1786979065.68496,lsl_raw,steering,6.035907,11.442082,18.566529,0.616275,1.062281,0.0,0.5,1,0.0,0.0,0,0.49
14,rest,attention,right,1786979054.722832,1786979074.884938,1786979066.186078,1786979066.185333,1786979066.18538,lsl_raw,steering,7.902023,29.778121,16.17368,1.841147,0.429236,0.0,0.5,1,0.0,0.0,0,0.697
14,rest,attention,right,1786979054.722832,1786979074.884938,1786979066.686224,1786979066.685389,1786979066.68544,lsl_raw,steering,15.471468,18.095658,22.155333,0.816763,0.660031,0.112971,0.5,1,0.0,0.0,0,0.784
