run,trial_idx,phase,wall_ts,a_state,b_state,b_direction
1,0,prompt,1786985492.510415,attention,rest,left
1,1,prompt,1786985518.201931,rest,rest,left
1,2,prompt,1786985543.564074,attention,rest,left
1,3,prompt,1786985568.761333,rest,rest,left
1,4,prompt,1786985593.915628,attention,rest,left
1,5,prompt,1786985619.714736,rest,rest,left
1,6,prompt,1786985644.939775,attention,rest,left
1,7,prompt,1786985670.114584,rest,rest,left
1,8,prompt,1786985695.299378,attention,rest,left
1,9,prompt,1786985720.587682,rest,rest,left
1,10,prompt,1786985746.065353,attention,rest,left
1,11,prompt,1786985771.197038,rest,rest,left
1,12,prompt,1786985796.463687,attention,rest,left
1,13,prompt,1786985821.715025,rest,rest,left
1,14,prompt,1786985846.865985,attention,rest,left
1,15,prompt,1786985872.36359,rest,rest,left
1,16,prompt,1786985897.512976,attention,rest,left
1,17,prompt,1786985923.132805,rest,rest,left
1,18,prompt,1786985948.809393,attention,rest,left
1,19,prompt,1786985974.414497,rest,rest,left
