run,trial_idx,a_state,b_state,b_direction,prompt_ts,start_ts,end_ts,duration_sec,n_samples,mean_alpha,mean_tbr,mean_ei,blink_count
1,0,attention,rest,left,1786986582.489421,1786986587.72323,1786986607.873032,20.149802,39,28.898289,5.191229,0.436616,0
1,1,rest,rest,left,1786986607.873032,1786986613.122973,1786986633.272589,20.149616,39,575.900848,12.825585,0.182349,0
1,2,attention,rest,left,1786986633.272589,1786986638.310888,1786986658.34924,20.038353,42,22.752777,17.588076,0.274894,0
1,3,rest,rest,left,1786986658.34924,1786986663.822418,1786986683.972364,20.149946,39,226.816622,48.444722,0.1343,0
1,4,attention,rest,left,1786986683.972364,1786986689.222871,1786986709.37292,20.150049,39,20.912444,9.544437,0.280437,0
1,5,rest,rest,left,1786986709.37292,1786986714.433177,1786986734.550293,20.117116,39,71.316876,24.776193,0.219492,0
1,6,attention,rest,left,1786986734.550293,1786986740.021842,1786986760.073313,20.051471,42,23.775119,10.379749,0.266929,0
1,7,rest,rest,left,1786986760.073313,1786986765.322018,1786986785.473258,20.15124,39,268.249072,29.946611,0.264961,0
1,8,attention,rest,left,1786986785.473258,1786986790.48571,1786986810.749525,20.263815,39,18.964545,11.740078,0.31181,0
1,9,rest,rest,left,1786986810.749525,1786986816.171819,1786986836.272091,20.100272,39,73.260992,14.494868,0.220607,0
1,10,attention,rest,left,1786986836.272091,1786986841.290904,1786986861.522308,20.231404,42,15.83746,2.630562,0.334305,0
1,11,rest,rest,left,1786986861.522308,1786986866.61177,1786986886.713243,20.101474,39,77.823455,19.413296,0.190915,0
1,12,attention,rest,left,1786986886.713243,1786986891.722473,1786986911.752455,20.029982,39,69.527926,7.285941,0.456507,0
1,13,rest,rest,left,1786986911.752455,1786986916.772905,1786986936.812821,20.039916,39,284.716312,32.454012,0.051773,0
1,14,attention,rest,left,1786986936.812821,1786986941.92064,1786986962.122608,20.201968,42,18.267315,5.550076,0.266394,0
1,15,rest,rest,left,1786986962.122608,1786986967.157484,1786986987.361368,20.203884,39,120.028134,31.722829,0.17396,0
1,16,attention,rest,left,1786986987.361368,1786986992.72235,1786987013.02174,20.29939,39,55.155696,8.285889,0.37532,0
1,17,rest,rest,left,1786987013.02174,1786987018.222469,1786987038.322889,20.100421,39,686.635053,28.838494,0.231582,0
1,18,attention,rest,left,1786987038.322889,1786987043.549741,1786987063.67285,20.123109,42,30.203904,4.925966,0.406541,0
1,19,rest,rest,left,1786987063.67285,1786987068.922403,1786987089.028806,20.106403,40,105.882164,53.789805,0.120866,0
