run,trial_idx,a_state,b_state,b_direction,prompt_ts,start_ts,end_ts,duration_sec,n_samples,mean_alpha,mean_tbr,mean_ei,blink_count
1,0,rest,attention,left,1787041286.867477,1787041292.157689,1787041312.549318,20.391629,43,29.629155,3.413838,0.287949,0
1,1,rest,rest,right,1787041312.549318,1787041317.635284,1787041337.855128,20.219843,39,1177.884507,15.016115,0.333844,5
1,2,rest,attention,right,1787041337.855128,1787041342.887782,1787041363.149585,20.261803,38,4336.335694,2.093779,0.369486,2
1,3,rest,rest,left,1787041363.149585,1787041368.199755,1787041388.454499,20.254744,39,1201.891362,5.801116,0.256995,5
1,4,rest,attention,left,1787041388.454499,1787041393.57962,1787041413.701588,20.121968,42,12.220353,2.155135,0.438529,0
1,5,rest,rest,right,1787041413.701588,1787041418.899079,1787041439.04969,20.150611,39,431.852707,7.030501,0.176416,5
1,6,rest,attention,right,1787041439.04969,1787041444.199731,1787041464.452253,20.252522,38,27985.234905,4.304669,0.408997,4
1,7,rest,rest,left,1787041464.452253,1787041469.648963,1787041490.726696,21.077733,41,238196.553909,28.689174,0.149416,6
1,8,rest,attention,left,1787041490.726696,1787041495.923963,1787041516.020723,20.09676,43,698.526047,2.413679,0.586428,3
1,9,rest,rest,right,1787041516.020723,1787041521.050213,1787041541.105496,20.055284,39,1406.754239,6.075497,0.189271,3
1,10,rest,attention,right,1787041541.105496,1787041546.349416,1787041566.42451,20.075094,38,5911.011787,3.966686,0.462284,2
1,11,rest,rest,left,1787041566.42451,1787041571.694255,1787041593.282863,21.588608,42,3966.797205,5.415021,0.236929,5
1,12,rest,attention,left,1787041593.282863,1787041598.33792,1787041618.677046,20.339126,43,633.805916,2.615028,0.441774,2
1,13,rest,rest,right,1787041618.677046,1787041623.950287,1787041644.30019,20.349903,39,57279.996521,7.498308,0.185654,5
1,14,rest,attention,right,1787041644.30019,1787041649.400496,1787041669.401657,20.001162,38,12314.19063,1.392794,0.602465,4
1,15,rest,rest,left,1787041669.401657,1787041674.498863,1787041695.685596,21.186733,41,553.9973,4.457244,0.316563,5
1,16,rest,attention,left,1787041695.685596,1787041700.749929,1787041721.045748,20.295819,43,9418.381119,6.684607,0.252669,2
1,17,rest,rest,right,1787041721.045748,1787041726.398553,1787041746.447615,20.049061,39,570.68941,9.222377,0.15242,5
1,18,rest,attention,right,1787041746.447615,1787041751.599371,1787041771.643135,20.043765,38,3653.985411,2.363572,0.467229,2
1,19,rest,rest,left,1787041771.643135,1787041776.851367,1787041797.519841,20.668474,40,871.737067,3.261733,0.280797,4
