run,trial_idx,phase,wall_ts,a_state,b_state,b_direction
1,0,prompt,1787045329.169155,rest,attention,left
1,1,prompt,1787045354.489088,rest,rest,right
1,2,prompt,1787045379.891225,rest,attention,right
1,3,prompt,1787045404.989031,rest,rest,left
1,4,prompt,1787045430.290578,rest,attention,left
1,5,prompt,1787045457.091435,rest,rest,right
1,6,prompt,1787045482.488668,rest,attention,right
1,7,prompt,1787045507.888982,rest,rest,left
1,8,prompt,1787045532.989311,rest,attention,left
1,9,prompt,1787045560.01514,rest,rest,right
1,10,prompt,1787045585.442241,rest,attention,right
1,11,prompt,1787045610.642465,rest,rest,left
1,12,prompt,1787045635.951182,rest,attention,left
1,13,prompt,1787045661.288644,rest,rest,right
1,14,prompt,1787045686.520581,rest,attention,right
1,15,prompt,1787045711.955993,rest,rest,left
1,16,prompt,1787045737.190334,rest,attention,left
1,17,prompt,1787045762.455676,rest,rest,right
1,18,prompt,1787045787.89131,rest,attention,right
1,19,prompt,1787045813.540909,rest,rest,left
