session_id,date,subject,subject_b,device_mode,metric,electrode,roles,trial_idx,a_state,b_state,b_direction,speed_intent,steer_intent,steer_direction,is_blink,latency_ms,mean_alpha,mean_tbr,mean_ei,blink_count
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,0,rest,attention,left,0.582569,0.591582,-1,1,0.720125,180.087107,19.489494,0.129068,4.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,1,rest,rest,right,0.376095,0.550232,1,1,0.688595,409.598808,12.573793,0.155814,3.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,2,rest,attention,right,0.213375,0.503435,1,1,0.798405,77.504419,8.793837,0.157779,2.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,3,rest,rest,left,0.331979,0.543778,-1,1,0.836667,1293.079084,24.698354,0.097342,6.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,4,rest,attention,left,0.357603,0.50894,-1,1,0.791128,410.160816,25.314912,0.054872,7.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,5,rest,rest,right,0.005894,0.5,1,1,0.80081,290.751842,35.668846,0.048074,7.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,6,rest,attention,right,0.198555,0.510197,1,1,0.8075,197.111475,30.303434,0.098264,5.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,7,rest,rest,left,0.083978,0.5,1,1,0.812436,279904.70071,26.498201,0.048621,7.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,8,rest,attention,left,0.105724,0.500642,-1,1,0.784513,415.704494,40.116599,0.026461,7.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,0,rest,attention,left,0.582569,0.591582,-1,1,0.720125,741.975557,18.267012,0.062987,0.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,1,rest,rest,right,0.376095,0.550232,1,1,0.688595,11176.804662,24.8784,0.091189,3.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,2,rest,attention,right,0.213375,0.503435,1,1,0.798405,15355.194129,21.149477,0.064178,1.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,3,rest,rest,left,0.331979,0.543778,-1,1,0.836667,40872.032203,19.764398,0.067593,3.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,4,rest,attention,left,0.357603,0.50894,-1,1,0.791128,17971.330975,11.964838,0.109503,1.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,0,rest,attention,left,0.582569,0.591582,-1,1,0.720125,381.453754,15.509976,0.109048,0.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,1,rest,rest,right,0.376095,0.550232,1,1,0.688595,483.028107,15.262189,0.100407,2.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,0,rest,attention,left,0.582569,0.591582,-1,1,0.720125,207954.723367,13.47922,0.128519,2.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,1,rest,rest,right,0.376095,0.550232,1,1,0.688595,352446.346682,38.441366,0.047326,4.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,2,rest,attention,right,0.213375,0.503435,1,1,0.798405,218.954521,13.408635,0.130512,1.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,3,rest,rest,left,0.331979,0.543778,-1,1,0.836667,28245.414767,28.478571,0.107033,2.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,0,rest,attention,left,0.582569,0.591582,-1,1,0.720125,884.551498,9.645319,0.155599,2.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,0,rest,attention,left,0.582569,0.591582,-1,1,0.720125,130.016032,21.933318,0.14675,1.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,1,rest,rest,right,0.376095,0.550232,1,1,0.688595,302.74349,20.356345,0.114032,4.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,2,rest,attention,right,0.213375,0.503435,1,1,0.798405,56.164411,11.65775,0.11562,1.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,3,rest,rest,left,0.331979,0.543778,-1,1,0.836667,409.81515,37.00682,0.096066,1.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,4,rest,attention,left,0.357603,0.50894,-1,1,0.791128,68.345175,8.642938,0.141436,0.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,5,rest,rest,right,0.005894,0.5,1,1,0.80081,408949.851492,26.708767,0.176925,8.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,6,rest,attention,right,0.198555,0.510197,1,1,0.8075,1319.173663,12.157497,0.118271,5.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,7,rest,rest,left,0.083978,0.5,1,1,0.812436,154.468362,18.880965,0.094223,2.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,8,rest,attention,left,0.105724,0.500642,-1,1,0.784513,4662.087674,42.137009,0.130352,0.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,0,rest,attention,left,0.582569,0.591582,-1,1,0.720125,83.617235,11.426085,0.180923,2.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,1,rest,rest,right,0.376095,0.550232,1,1,0.688595,34709.259946,33.324253,0.119354,5.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,2,rest,attention,right,0.213375,0.503435,1,1,0.798405,593.312232,20.231957,0.152819,4.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,3,rest,rest,left,0.331979,0.543778,-1,1,0.836667,74574.950056,22.260088,0.114325,5.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,4,rest,attention,left,0.357603,0.50894,-1,1,0.791128,116.379443,14.534506,0.096562,2.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,5,rest,rest,right,0.005894,0.5,1,1,0.80081,146.099706,14.948517,0.115424,3.0
W_s1_alpha_single_2026-08-17_1786954074,2026-08-17,W,,single,alpha,,steering,6,rest,attention,right,0.198555,0.510197,1,1,0.8075,83.754688,17.005047,0.109968,2.0
