run,trial_idx,phase,wall_ts,a_state,b_state,b_direction
1,0,prompt,1787129492.587037,attention,rest,left
1,1,prompt,1787129517.730305,rest,rest,left
1,2,prompt,1787129543.21294,attention,rest,left
1,3,prompt,1787129568.779269,rest,rest,left
1,4,prompt,1787129594.429922,attention,rest,left
1,5,prompt,1787129619.680314,rest,rest,left
1,6,prompt,1787129645.15214,attention,rest,left
1,7,prompt,1787129670.580438,rest,rest,left
1,8,prompt,1787129696.380799,attention,rest,left
1,9,prompt,1787129721.630886,rest,rest,left
1,10,prompt,1787129747.114172,attention,rest,left
1,11,prompt,1787129772.528861,rest,rest,left
1,12,prompt,1787129798.33016,attention,rest,left
1,13,prompt,1787129824.031564,rest,rest,left
1,14,prompt,1787129849.230531,attention,rest,left
1,15,prompt,1787129874.479524,rest,rest,left
1,16,prompt,1787129900.230788,attention,rest,left
1,17,prompt,1787129925.930312,rest,rest,left
1,18,prompt,1787129951.181098,attention,rest,left
1,19,prompt,1787129976.379676,rest,rest,left
