run,trial_idx,phase,wall_ts,a_state,b_state,b_direction
1,0,prompt,1787152099.673009,rest,attention,left
1,1,prompt,1787152124.94992,rest,rest,right
1,2,prompt,1787152150.197865,rest,attention,right
1,3,prompt,1787152175.63103,rest,rest,left
1,4,prompt,1787152200.90116,rest,attention,left
1,5,prompt,1787152226.046628,rest,rest,right
1,6,prompt,1787152251.400988,rest,attention,right
1,7,prompt,1787152276.510492,rest,rest,left
1,8,prompt,1787152301.650969,rest,attention,left
1,9,prompt,1787152327.050042,rest,rest,right
1,10,prompt,1787152352.390307,rest,attention,right
1,11,prompt,1787152377.751459,rest,rest,left
1,12,prompt,1787152402.880179,rest,attention,left
1,13,prompt,1787152428.050768,rest,rest,right
1,14,prompt,1787152453.400926,rest,attention,right
1,15,prompt,1787152478.738525,rest,rest,left
1,16,prompt,1787152504.151753,rest,attention,left
1,17,prompt,1787152529.25613,rest,rest,right
1,18,prompt,1787152554.399213,rest,attention,left
1,19,prompt,1787152579.49717,rest,rest,right
