run,trial_idx,a_state,b_state,b_direction,prompt_ts,start_ts,end_ts,duration_sec,n_samples,mean_alpha,mean_tbr,mean_ei,blink_count
1,0,rest,attention,left,1787212936.629229,1787212941.699487,1787212961.910398,20.21091,43,90.327197,6.179756,0.188958,1
1,1,rest,rest,right,1787212961.910398,1787212967.248927,1787212987.498426,20.2495,39,223.50073,9.954212,0.143553,4
1,2,rest,attention,right,1787212987.498426,1787212992.627991,1787213012.906737,20.278746,39,1282.75858,19.877608,0.074805,3
1,3,rest,rest,left,1787213012.906737,1787213018.154021,1787213038.386618,20.232598,39,1732.287541,9.699415,0.155796,4
1,4,rest,attention,left,1787213038.386618,1787213043.697257,1787213063.697599,20.000342,43,29.684532,7.366429,0.17818,1
1,5,rest,rest,right,1787213063.697599,1787213068.847303,1787213088.948541,20.101238,39,80.163651,5.414263,0.259075,1
1,6,rest,attention,right,1787213088.948541,1787213094.151846,1787213114.198035,20.046189,38,44.318698,11.15197,0.197047,2
1,7,rest,rest,left,1787213114.198035,1787213119.648114,1787213139.997664,20.34955,39,11718.244654,11.450064,0.098095,4
1,8,rest,attention,left,1787213139.997664,1787213145.128613,1787213165.14769,20.019077,42,71.470041,8.53435,0.175475,1
1,9,rest,rest,right,1787213165.14769,1787213170.33599,1787213190.35899,20.023,39,26.767965,6.575021,0.155079,1
1,10,rest,attention,right,1787213190.35899,1787213195.748508,1787213215.748848,20.000341,38,47.88343,6.314006,0.205219,2
1,11,rest,rest,left,1787213215.748848,1787213220.98811,1787213242.098246,21.110136,40,326.481306,6.4325,0.152681,2
1,12,rest,attention,left,1787213242.098246,1787213247.165236,1787213267.595092,20.429856,43,69.531026,6.859241,0.191099,1
1,13,rest,rest,right,1787213267.595092,1787213272.694266,1787213292.89763,20.203365,39,34.406952,5.712126,0.175451,2
1,14,rest,attention,right,1787213292.89763,1787213298.013769,1787213318.298099,20.28433,38,16.080113,6.848118,0.180722,1
1,15,rest,rest,left,1787213318.298099,1787213323.697684,1787213344.096893,20.399209,39,36.085189,4.584928,0.175541,0
1,16,rest,attention,left,1787213344.096893,1787213349.167794,1787213369.647653,20.479859,43,31.094092,10.637611,0.170572,1
1,17,rest,rest,right,1787213369.647653,1787213374.898056,1787213395.097414,20.199358,39,35.5396,4.105897,0.203439,0
1,18,rest,attention,left,1787213395.097414,1787213400.138865,1787213420.197857,20.058992,38,17.397749,4.423725,0.24461,0
1,19,rest,rest,right,1787213420.197857,1787213425.198311,1787213445.647338,20.449027,39,1520.825692,7.274776,0.159852,2
