trial_idx,a_state,b_state,b_direction,trial_start_ts,trial_end_ts,row_ts,frame_ts,cmd_vel_ts,source,role,alpha,theta,beta,tbr,ei,speed_intent,steer_intent,steer_direction,cmd_lin,cmd_ang,is_blink,latency_ms
14,rest,attention,right,1787215379.365281,1787215399.54653,1787215379.490442,1787215379.489578,1787215379.489626,lsl_raw,steering,398.848509,5433.162,113.18246,3.314593,0.259525,0.0,0.5,-1,0.0,0.0,1,0.816
14,rest,attention,right,1787215379.365281,1787215399.54653,1787215379.986874,1787215379.986273,1787215379.986303,lsl_raw,steering,155.554586,2210.921528,41.474037,3.314593,0.259525,0.0,0.5,-1,0.0,0.0,0,0.572
14,rest,attention,right,1787215379.365281,1787215399.54653,1787215380.437342,1787215380.436757,1787215380.436791,lsl_raw,steering,42.94637,74.320587,30.730524,2.418461,0.262056,0.0,0.5,-1,0.0,0.0,0,0.551
14,rest,attention,right,1787215379.365281,1787215399.54653,1787215380.888815,1787215380.887973,1787215380.888027,lsl_raw,steering,69.397078,143.896474,114.952135,1.251795,0.538939,0.158807,0.5,-1,0.0,0.0,0,0.788
14,rest,attention,right,1787215379.365281,1787215399.54653,1787215381.438355,1787215381.43767,1787215381.437723,lsl_raw,steering,173.860328,998.814594,402.886786,2.479145,0.343562,0.288978,0.5,-1,0.0,0.0,0,0.632
14,rest,attention,right,1787215379.365281,1787215399.54653,1787215381.839988,1787215381.839053,1787215381.83913,lsl_raw,steering,47.479786,810.032688,163.274635,4.961167,0.190405,0.043483,0.5,-1,0.0,0.0,0,0.858
14,rest,attention,right,1787215379.365281,1787215399.54653,1787215382.339811,1787215382.338923,1787215382.338982,lsl_raw,steering,62.237633,475.271206,55.763893,8.52292,0.103745,0.0,0.5,-1,0.0,0.0,0,0.829
14,rest,attention,right,1787215379.365281,1787215399.54653,1787215382.789207,1787215382.788392,1787215382.788452,lsl_raw,steering,81.150264,96.729751,49.428,1.956983,0.277873,0.0,0.5,-1,0.0,0.0,0,0.756
14,rest,attention,right,1787215379.365281,1787215399.54653,1787215383.239785,1787215383.239011,1787215383.239073,lsl_raw,steering,487.904481,1071.666924,746.943181,1.434737,0.478941,0.24135,0.5,-1,0.0,0.0,0,0.712
14,rest,attention,right,1787215379.365281,1787215399.54653,1787215383.740388,1787215383.739352,1787215383.739405,lsl_raw,steering,77.103169,528.573485,60.67692,8.711277,0.10018,0.0,0.5,-1,0.0,0.0,0,0.983
