run,trial_idx,a_state,b_state,b_direction,prompt_ts,start_ts,end_ts,duration_sec,n_samples,mean_alpha,mean_tbr,mean_ei,blink_count
1,0,rest,attention,left,1787215015.789112,1787215020.790512,1787215040.793623,20.003111,43,26.941176,4.061621,0.264643,0
1,1,rest,rest,right,1787215040.793623,1787215048.137835,1787215068.19586,20.058026,43,1204.888305,3.567272,0.257863,2
1,2,rest,attention,right,1787215068.19586,1787215073.290338,1787215093.399058,20.10872,43,11.712743,1.8552,0.442173,1
1,3,rest,rest,left,1787215093.399058,1787215098.789435,1787215118.910427,20.120992,43,320.915703,3.861109,0.25903,3
1,4,rest,attention,left,1787215118.910427,1787215124.240181,1787215144.639019,20.398838,39,54.470016,2.19282,0.409961,0
1,5,rest,rest,right,1787215144.639019,1787215149.808048,1787215170.132674,20.324626,39,52.570633,4.375174,0.21674,3
1,6,rest,attention,right,1787215170.132674,1787215175.134823,1787215195.188652,20.05383,42,84.519481,2.06015,0.425155,0
1,7,rest,rest,left,1787215195.188652,1787215200.939964,1787215220.957258,20.017294,43,161.403876,5.596947,0.184848,3
1,8,rest,attention,left,1787215220.957258,1787215226.389465,1787215246.689683,20.300218,39,62.452342,4.630549,0.291896,4
1,9,rest,rest,right,1787215246.689683,1787215251.853408,1787215272.156389,20.302981,39,20632.185665,6.750668,0.174326,4
1,10,rest,attention,right,1787215272.156389,1787215277.171238,1787215297.297083,20.125845,42,42.481055,2.733671,0.368709,1
1,11,rest,rest,left,1787215297.297083,1787215303.411908,1787215323.674246,20.262337,43,2289.201139,72.201596,0.035572,8
1,12,rest,attention,left,1787215323.674246,1787215328.892982,1787215348.954809,20.061827,39,111.037219,6.880547,0.227864,1
1,13,rest,rest,right,1787215348.954809,1787215353.988286,1787215374.130536,20.14225,39,595.983892,10.870216,0.133555,5
1,14,rest,attention,right,1787215374.130536,1787215379.365281,1787215399.54653,20.181249,43,73.245545,3.498087,0.289594,2
1,15,rest,rest,left,1787215399.54653,1787215405.843988,1787215426.340935,20.496947,43,536.775582,35.253197,0.152321,5
1,16,rest,attention,left,1787215426.340935,1787215431.539379,1787215451.670991,20.131613,39,414.540228,7.350988,0.207237,2
1,17,rest,rest,right,1787215451.670991,1787215456.880812,1787215476.989729,20.108917,38,7821.999627,57.923588,0.213185,4
1,18,rest,attention,left,1787215476.989729,1787215482.190551,1787215502.438843,20.248291,43,11.200925,1.576622,0.48964,0
1,19,rest,rest,right,1787215502.438843,1787215508.64009,1787215528.668459,20.028369,43,85.306534,5.228695,0.195327,2
