run,trial_idx,phase,wall_ts,a_state,b_state,b_direction
1,0,prompt,1787472421.879547,attention,attention,left
1,1,prompt,1787472447.201589,attention,rest,left
1,2,prompt,1787472472.242437,rest,attention,right
1,3,prompt,1787472497.427794,attention,rest,right
1,4,prompt,1787472523.608406,rest,rest,left
1,5,prompt,1787472548.808321,attention,attention,right
1,6,prompt,1787472574.05753,attention,attention,left
1,7,prompt,1787472599.25755,rest,attention,left
1,8,prompt,1787472625.662832,attention,rest,right
1,9,prompt,1787472650.961395,attention,rest,left
1,10,prompt,1787472676.212846,attention,attention,left
1,11,prompt,1787472701.413222,attention,attention,right
1,12,prompt,1787472726.661474,rest,attention,right
1,13,prompt,1787472751.768674,rest,rest,right
1,14,prompt,1787472776.908288,attention,rest,right
1,15,prompt,1787472802.15802,attention,rest,left
1,16,prompt,1787472827.357578,rest,rest,right
1,17,prompt,1787472852.639382,attention,attention,right
1,18,prompt,1787472877.80162,rest,attention,left
1,19,prompt,1787472903.110058,rest,rest,left
