trial_idx,a_state,b_state,b_direction,trial_start_ts,trial_end_ts,row_ts,frame_ts,cmd_vel_ts,source,role,alpha,theta,beta,tbr,ei,speed_intent,steer_intent,steer_direction,cmd_lin,cmd_ang,is_blink,latency_ms
11,attention,attention,right,1787472706.557535,1787472726.661474,1787472706.557535,1787472706.556761,1787472706.556808,lsl_raw,steering,1315.891923,7237.611548,166.055218,173.21624,0.004838,0.0,0.5,1,0.0,0.0,1,0.727
11,attention,attention,right,1787472706.557535,1787472726.661474,1787472706.860527,1787472706.859908,1787472706.859947,lsl_raw,speed,111.435798,473.673607,36.15304,13.101903,0.061789,0.0,0.5,1,0.0,0.0,0,0.58
11,attention,attention,right,1787472706.557535,1787472726.661474,1787472707.009041,1787472707.007205,1787472707.008114,lsl_raw,steering,801.856595,13159.99003,140.212199,173.21624,0.004838,0.0,0.5,-1,0.0,0.0,1,0.927
11,attention,attention,right,1787472706.557535,1787472726.661474,1787472707.312993,1787472707.312063,1787472707.312114,lsl_raw,speed,154.843114,51.936323,12.305337,4.220634,0.059509,0.0,0.5,1,0.0,0.0,0,0.878
11,attention,attention,right,1787472706.557535,1787472726.661474,1787472707.507927,1787472707.506841,1787472707.50688,lsl_raw,steering,33.720778,129.103049,12.120082,173.21624,0.004838,0.0,0.5,-1,0.0,0.0,0,1.046
11,attention,attention,right,1787472706.557535,1787472726.661474,1787472707.76005,1787472707.75933,1787472707.759365,lsl_raw,speed,87.985114,45.668089,13.448167,3.39586,0.10062,0.0,0.5,1,0.0,0.0,0,0.685
11,attention,attention,right,1787472706.557535,1787472726.661474,1787472708.008674,1787472708.007632,1787472708.007681,lsl_raw,steering,22.097749,48.697411,12.684689,173.21624,0.004838,0.0,0.5,-1,0.0,0.0,0,0.994
11,attention,attention,right,1787472706.557535,1787472726.661474,1787472708.262574,1787472708.261774,1787472708.261817,lsl_raw,speed,28.672663,37.115387,11.271232,3.292931,0.171326,0.0,0.5,1,0.0,0.0,0,0.757
11,attention,attention,right,1787472706.557535,1787472726.661474,1787472708.508496,1787472708.507639,1787472708.507687,lsl_raw,steering,36.766525,84.1471,28.265301,173.21624,0.004838,0.0,0.5,-1,0.0,0.0,0,0.809
11,attention,attention,right,1787472706.557535,1787472726.661474,1787472708.711059,1787472708.710223,1787472708.710268,lsl_raw,speed,34.594479,56.22099,18.834235,2.985042,0.20739,0.0,0.5,1,0.0,0.0,0,0.792
11,attention,attention,right,1787472706.557535,1787472726.661474,1787472708.956387,1787472708.955931,1787472708.955965,lsl_raw,steering,37.691445,131.700643,39.459748,3.337595,0.232949,0.0,0.5,-1,0.0,0.0,0,0.422
11,attention,attention,right,1787472706.557535,1787472726.661474,1787472709.213134,1787472709.212251,1787472709.212304,lsl_raw,speed,14.292593,30.307167,19.704765,1.538063,0.441813,0.0,0.5,1,0.0,0.0,0,0.83
