run,trial_idx,a_state,b_state,b_direction,prompt_ts,start_ts,end_ts,duration_sec,n_samples,mean_alpha,mean_tbr,mean_ei,blink_count
1,0,attention,attention,left,1787472421.879547,1787472427.02124,1787472447.201589,20.180349,84,315.605014,6.496824,0.353905,4
1,1,attention,rest,left,1787472447.201589,1787472452.21362,1787472472.242437,20.028817,79,336.480077,12.487482,0.253643,3
1,2,rest,attention,right,1787472472.242437,1787472477.258132,1787472497.427794,20.169662,78,1426.489882,11.378958,0.298065,1
1,3,attention,rest,right,1787472497.427794,1787472502.507969,1787472523.608406,21.100437,82,1541.141473,11.275478,0.288592,5
1,4,rest,rest,left,1787472523.608406,1787472528.670429,1787472548.808321,20.137892,83,3333.43621,20.599328,0.145181,4
1,5,attention,attention,right,1787472548.808321,1787472553.912624,1787472574.05753,20.144906,79,39.584456,3.992008,0.443612,1
1,6,attention,attention,left,1787472574.05753,1787472579.109512,1787472599.25755,20.148038,83,3095.23228,12.339118,0.343464,5
1,7,rest,attention,left,1787472599.25755,1787472605.574046,1787472625.662832,20.088786,82,7788.575557,25.187956,0.140093,2
1,8,attention,rest,right,1787472625.662832,1787472630.808848,1787472650.961395,20.152547,79,75.458408,10.287543,0.363738,1
1,9,attention,rest,left,1787472650.961395,1787472656.044202,1787472676.212846,20.168643,79,2211.700609,34.628107,0.254067,5
1,10,attention,attention,left,1787472676.212846,1787472681.306797,1787472701.413222,20.106425,83,70.691312,4.557652,0.365943,0
1,11,attention,attention,right,1787472701.413222,1787472706.557535,1787472726.661474,20.103939,83,57.423015,13.467905,0.338348,3
1,12,rest,attention,right,1787472726.661474,1787472731.75722,1787472751.768674,20.011454,79,98.153865,4.970494,0.245054,2
1,13,rest,rest,right,1787472751.768674,1787472756.812577,1787472776.908288,20.095711,79,256.510871,8.367698,0.232772,4
1,14,attention,rest,right,1787472776.908288,1787472782.113592,1787472802.15802,20.044428,83,54.552106,9.291219,0.341842,2
1,15,attention,rest,left,1787472802.15802,1787472807.301197,1787472827.357578,20.056381,83,158.046081,6.051433,0.352945,1
1,16,rest,rest,right,1787472827.357578,1787472832.612316,1787472852.639382,20.027066,84,2232.158186,25.29153,0.144853,6
1,17,attention,attention,right,1787472852.639382,1787472857.761424,1787472877.80162,20.040196,74,65.057771,9.328196,0.459562,1
1,18,rest,attention,left,1787472877.80162,1787472882.812091,1787472903.110058,20.297967,84,735.650287,6.658062,0.242521,1
1,19,rest,rest,left,1787472903.110058,1787472908.459431,1787472928.588001,20.128571,82,3919.551918,27.800929,0.074085,7
