run,trial_idx,phase,wall_ts,a_state,b_state,b_direction
1,0,prompt,1787473774.315451,rest,attention,right
1,1,prompt,1787473799.434293,rest,attention,left
1,2,prompt,1787473824.668615,attention,attention,left
1,3,prompt,1787473850.292572,rest,attention,left
1,4,prompt,1787473875.491332,attention,attention,right
1,5,prompt,1787473900.792487,attention,rest,left
1,6,prompt,1787473926.291775,attention,rest,left
1,7,prompt,1787473951.531215,attention,rest,right
1,8,prompt,1787473976.761434,attention,attention,right
1,9,prompt,1787474002.183478,attention,rest,right
1,10,prompt,1787474027.384191,rest,attention,right
1,11,prompt,1787474052.534802,attention,attention,left
1,12,prompt,1787474077.834407,rest,rest,right
1,13,prompt,1787474102.933816,attention,attention,left
1,14,prompt,1787474128.381822,attention,rest,right
1,15,prompt,1787474153.581366,rest,rest,left
1,16,prompt,1787474178.884064,attention,rest,left
1,17,prompt,1787474204.291094,rest,rest,left
1,18,prompt,1787474229.48029,attention,attention,right
1,19,prompt,1787474255.172307,rest,rest,right
