trial_idx,a_state,b_state,b_direction,trial_start_ts,trial_end_ts,row_ts,frame_ts,cmd_vel_ts,source,role,alpha,theta,beta,tbr,ei,speed_intent,steer_intent,steer_direction,cmd_lin,cmd_ang,is_blink,latency_ms
6,attention,rest,left,1787473931.492363,1787473951.531215,1787473931.492363,1787473931.491358,1787473931.491416,lsl_raw,steering,155.33582,1125.971948,35.595254,11.650157,0.069686,0.0,0.5,-1,0.0,0.0,0,0.947
6,attention,rest,left,1787473931.492363,1787473951.531215,1787473931.633474,1787473931.632751,1787473931.632796,lsl_raw,speed,1091.073985,18821.4797,210.272058,89.510132,0.01056,0.0,0.5,1,0.0,0.0,0,0.678
6,attention,rest,left,1787473931.492363,1787473951.531215,1787473931.991026,1787473931.989867,1787473931.990477,lsl_raw,steering,539.737204,8071.045027,110.712993,11.650157,0.069686,0.0,0.5,1,0.0,0.0,1,0.55
6,attention,rest,left,1787473931.492363,1787473951.531215,1787473932.13296,1787473932.132186,1787473932.132236,lsl_raw,speed,307.892526,784.3607,385.548457,2.034402,0.352984,0.0,0.5,1,0.0,0.0,0,0.725
6,attention,rest,left,1787473931.492363,1787473951.531215,1787473932.492694,1787473932.491559,1787473932.491604,lsl_raw,steering,78.496943,1686.84324,47.709091,11.650157,0.069686,0.0,0.5,1,0.0,0.0,0,1.09
6,attention,rest,left,1787473931.492363,1787473951.531215,1787473932.684848,1787473932.683949,1787473932.684022,lsl_raw,speed,106.73225,654.634649,33.994087,19.25731,0.044649,0.0,0.5,1,0.0,0.0,0,0.826
6,attention,rest,left,1787473931.492363,1787473951.531215,1787473932.990533,1787473932.990009,1787473932.990039,lsl_raw,steering,311.280071,16707.513916,86.975027,11.650157,0.069686,0.0,0.5,1,0.0,0.0,0,0.494
6,attention,rest,left,1787473931.492363,1787473951.531215,1787473933.133873,1787473933.132976,1787473933.133021,lsl_raw,speed,149.48842,2633.536568,35.852861,73.454014,0.012883,0.0,0.5,1,0.0,0.0,0,0.852
6,attention,rest,left,1787473931.492363,1787473951.531215,1787473933.492724,1787473933.491678,1787473933.491725,lsl_raw,steering,142.810275,2356.004308,16.252791,11.650157,0.069686,0.0,0.5,1,0.0,0.0,0,0.999
6,attention,rest,left,1787473931.492363,1787473951.531215,1787473933.581953,1787473933.581348,1787473933.581383,lsl_raw,speed,95.477055,436.683342,88.441355,4.937547,0.166193,0.0,0.5,1,0.0,0.0,0,0.57
6,attention,rest,left,1787473931.492363,1787473951.531215,1787473933.99042,1787473933.989796,1787473933.98983,lsl_raw,steering,435.709548,3132.75303,193.864356,16.15951,0.054327,0.0,0.5,1,0.0,0.0,0,0.59
6,attention,rest,left,1787473931.492363,1787473951.531215,1787473934.134905,1787473934.133919,1787473934.133972,lsl_raw,speed,452.990982,6240.428574,318.270131,19.607333,0.04755,0.0,0.5,1,0.0,0.0,0,0.933
6,attention,rest,left,1787473931.492363,1787473951.531215,1787473934.492734,1787473934.491865,1787473934.491921,lsl_raw,steering,334.719793,3449.009027,43.206894,16.15951,0.054327,0.0,0.5,1,0.0,0.0,0,0.813
