run,trial_idx,a_state,b_state,b_direction,prompt_ts,start_ts,end_ts,duration_sec,n_samples,mean_alpha,mean_tbr,mean_ei,blink_count
1,0,rest,attention,right,1787473774.315451,1787473779.392247,1787473799.434293,20.042047,79,453.502246,21.778347,0.253585,2
1,1,rest,attention,left,1787473799.434293,1787473804.437627,1787473824.668615,20.230989,78,49.626401,2.717821,0.395338,2
1,2,attention,attention,left,1787473824.668615,1787473829.992088,1787473850.292572,20.300484,84,45.036465,6.612567,0.34175,0
1,3,rest,attention,left,1787473850.292572,1787473855.381531,1787473875.491332,20.109801,83,679.995982,10.624338,0.190373,4
1,4,attention,attention,right,1787473875.491332,1787473880.699848,1787473900.792487,20.092639,78,18350.150505,24.601958,0.15956,5
1,5,attention,rest,left,1787473900.792487,1787473905.992934,1787473926.291775,20.298841,78,68.951187,7.83969,0.203627,3
1,6,attention,rest,left,1787473926.291775,1787473931.492363,1787473951.531215,20.038853,83,1327.684847,25.485384,0.222518,5
1,7,attention,rest,right,1787473951.531215,1787473956.675622,1787473976.761434,20.085812,83,68.431804,3.896971,0.277079,3
1,8,attention,attention,right,1787473976.761434,1787473981.941735,1787474002.183478,20.241743,79,515.052892,9.959388,0.226241,1
1,9,attention,rest,right,1787474002.183478,1787474007.190711,1787474027.384191,20.19348,79,643.161723,35.349066,0.215544,3
1,10,rest,attention,right,1787474027.384191,1787474032.490494,1787474052.534802,20.044308,83,7317.414374,7.721024,0.239654,3
1,11,attention,attention,left,1787474052.534802,1787474057.691647,1787474077.834407,20.14276,83,1345.937192,7.695421,0.303959,5
1,12,rest,rest,right,1787474077.834407,1787474082.892651,1787474102.933816,20.041166,79,3866.44823,25.78636,0.110988,4
1,13,attention,attention,left,1787474102.933816,1787474108.140556,1787474128.381822,20.241266,79,1063.540549,4.807971,0.385135,4
1,14,attention,rest,right,1787474128.381822,1787474133.440128,1787474153.581366,20.141238,83,792.617886,14.914606,0.312618,4
1,15,rest,rest,left,1787474153.581366,1787474158.690111,1787474178.884064,20.193953,83,1083.075042,28.25595,0.093646,3
1,16,attention,rest,left,1787474178.884064,1787474184.134003,1787474204.291094,20.157091,79,4328.414999,17.927398,0.251824,1
1,17,rest,rest,left,1787474204.291094,1787474209.468547,1787474229.48029,20.011743,79,849.792384,18.961037,0.207798,3
1,18,attention,attention,right,1787474229.48029,1787474234.781659,1787474255.172307,20.390647,80,1581.106403,3.735425,0.356026,0
1,19,rest,rest,right,1787474255.172307,1787474260.531332,1787474280.931306,20.399973,84,24629.10746,31.738284,0.064543,6
