run,trial_idx,a_state,b_state,b_direction,prompt_ts,start_ts,end_ts,duration_sec,n_samples,mean_alpha,mean_tbr,mean_ei,blink_count
1,0,attention,rest,left,1787048936.339665,1787048941.5522,1787048961.60169,20.049491,40,3213.33888,1.597841,0.58924,0
1,1,rest,rest,left,1787048961.60169,1787048967.05071,1787048987.092407,20.041697,40,1780.888446,5.175738,0.336301,0
1,2,attention,rest,left,1787048987.092407,1787048992.104133,1787049012.328483,20.224349,41,4715.974983,2.160115,0.815701,0
1,3,rest,rest,left,1787049012.328483,1787049017.522003,1787049037.602459,20.080456,40,46973.160494,12.342156,0.36952,0
1,4,attention,rest,left,1787049037.602459,1787049042.720389,1787049063.152843,20.432454,40,102.974057,2.161105,0.668513,0
1,5,rest,rest,left,1787049063.152843,1787049068.152966,1787049088.652564,20.499598,41,391.889181,3.458153,0.354998,0
1,6,attention,rest,left,1787049088.652564,1787049093.653175,1787049113.701552,20.048377,40,424.163593,0.969334,0.874923,0
1,7,rest,rest,left,1787049113.701552,1787049118.703443,1787049138.727493,20.02405,41,1603.172283,6.225864,0.17893,0
1,8,attention,rest,left,1787049138.727493,1787049144.204693,1787049164.404181,20.199488,40,25.46693,1.442582,0.482152,0
1,9,rest,rest,left,1787049164.404181,1787049169.752515,1787049190.010862,20.258348,41,558.692913,4.868256,0.427886,0
1,10,attention,rest,left,1787049190.010862,1787049195.302479,1787049215.512088,20.20961,41,80.808292,1.230796,0.739793,0
1,11,rest,rest,left,1787049215.512088,1787049220.801161,1787049241.026781,20.22562,41,81021.211658,6.522911,0.390927,0
1,12,attention,rest,left,1787049241.026781,1787049246.302394,1787049266.352401,20.050007,40,21.302052,2.080722,0.45487,0
1,13,rest,rest,left,1787049266.352401,1787049271.824178,1787049291.850679,20.0265,40,314.702142,8.00032,0.232839,0
1,14,attention,rest,left,1787049291.850679,1787049296.850938,1787049316.904208,20.05327,40,41.204328,3.391513,0.406429,0
1,15,rest,rest,left,1787049316.904208,1787049322.016748,1787049342.325903,20.309155,40,295.345546,5.201537,0.652898,0
1,16,attention,rest,left,1787049342.325903,1787049347.402461,1787049367.456902,20.054441,40,30.535338,2.617651,0.379528,0
1,17,rest,rest,left,1787049367.456902,1787049372.723372,1787049392.952562,20.22919,40,168.974469,3.527286,0.404767,0
1,18,attention,rest,left,1787049392.952562,1787049397.952671,1787049418.000755,20.048083,40,3374.962631,1.345068,0.605125,0
1,19,rest,rest,left,1787049418.000755,1787049423.002956,1787049443.104527,20.101571,41,426.889655,7.029063,0.264105,0
