run,trial_idx,phase,wall_ts,a_state,b_state,b_direction
1,0,prompt,1787051245.439858,attention,rest,left
1,1,prompt,1787051271.071914,rest,rest,left
1,2,prompt,1787051296.571839,attention,rest,left
1,3,prompt,1787051322.071515,rest,rest,left
1,4,prompt,1787051347.170098,attention,rest,left
1,5,prompt,1787051372.523213,rest,rest,left
1,6,prompt,1787051397.671427,attention,rest,left
1,7,prompt,1787051422.722039,rest,rest,left
1,8,prompt,1787051448.221941,attention,rest,left
1,9,prompt,1787051473.321358,rest,rest,left
1,10,prompt,1787051498.513621,attention,rest,left
1,11,prompt,1787051523.821774,rest,rest,left
1,12,prompt,1787051549.373181,attention,rest,left
1,13,prompt,1787051574.920201,rest,rest,left
1,14,prompt,1787051600.102616,attention,rest,left
1,15,prompt,1787051625.470505,rest,rest,left
1,16,prompt,1787051650.571849,attention,rest,left
1,17,prompt,1787051676.021834,rest,rest,left
1,18,prompt,1787051701.621896,attention,rest,left
1,19,prompt,1787051727.121453,rest,rest,left
