run,trial_idx,a_state,b_state,b_direction,prompt_ts,start_ts,end_ts,duration_sec,n_samples,mean_alpha,mean_tbr,mean_ei,blink_count
1,0,rest,attention,left,1787072039.357759,1787072044.365235,1787072064.416251,20.051016,40,537.001685,1.204772,0.760603,0
1,1,rest,rest,right,1787072064.416251,1787072069.54517,1787072089.818995,20.273825,40,772.578812,1.221366,0.616862,0
1,2,rest,attention,right,1787072089.818995,1787072094.96665,1787072115.366913,20.400262,41,545.964954,1.043908,0.857424,3
1,3,rest,rest,left,1787072115.366913,1787072120.399665,1787072140.43854,20.038875,39,17246.408371,0.925624,0.949273,1
1,4,rest,attention,left,1787072140.43854,1787072145.699361,1787072165.976143,20.276782,40,821.789429,0.893948,1.681981,2
1,5,rest,rest,right,1787072165.976143,1787072171.015427,1787072191.215176,20.19975,41,12.398122,1.00033,0.718856,2
1,6,rest,attention,right,1787072191.215176,1787072196.566267,1787072216.818909,20.252642,41,26438.662805,1.125492,1.040691,1
1,7,rest,rest,left,1787072216.818909,1787072222.067254,1787072242.152823,20.085569,41,55.014807,2.02723,0.496465,2
1,8,rest,attention,left,1787072242.152823,1787072247.466304,1787072267.53495,20.068646,40,4908.237184,1.232808,0.879491,1
1,9,rest,rest,right,1787072267.53495,1787072272.566084,1787072292.716251,20.150167,40,7512.010502,18.546073,0.507692,6
1,10,rest,attention,right,1787072292.716251,1787072297.963019,1787072318.116133,20.153114,40,9.001087,1.907345,0.414716,0
1,11,rest,rest,left,1787072318.116133,1787072323.218903,1787072343.617611,20.398708,41,1003.310893,26.169406,0.227961,4
1,12,rest,attention,left,1787072343.617611,1787072348.86761,1787072369.215992,20.348382,40,8.966169,2.09862,0.427134,0
1,13,rest,rest,right,1787072369.215992,1787072374.364503,1787072394.765043,20.40054,40,3492.284117,1.760156,0.54266,1
1,14,rest,attention,right,1787072394.765043,1787072399.766496,1787072419.86769,20.101194,40,69.673456,2.198786,0.396075,2
1,15,rest,rest,left,1787072419.86769,1787072425.244282,1787072445.674273,20.429991,41,849.724247,5.703782,0.267264,4
1,16,rest,attention,left,1787072445.674273,1787072450.813996,1787072471.17439,20.360394,41,126.485506,1.119823,0.892015,0
1,17,rest,rest,right,1787072471.17439,1787072476.217131,1787072496.365001,20.147869,40,87.034246,1.424962,0.539852,2
1,18,rest,attention,left,1787072496.365001,1787072501.366344,1787072521.415121,20.048777,40,641.10402,1.058854,1.084671,1
1,19,rest,rest,right,1787072521.415121,1787072526.417127,1787072546.467693,20.050566,40,4401.10121,1.103399,0.92652,4
