run,trial_idx,a_state,b_state,b_direction,prompt_ts,start_ts,end_ts,duration_sec,n_samples,mean_alpha,mean_tbr,mean_ei,blink_count
1,0,rest,attention,left,1787162118.289987,1787162123.303273,1787162143.426284,20.123011,38,9.170319,1.774994,0.456233,0
1,1,rest,rest,right,1787162143.426284,1787162148.556139,1787162168.757892,20.201753,39,47.465134,2.431475,0.528898,0
1,2,rest,attention,right,1787162168.757892,1787162174.12604,1787162194.438035,20.311996,43,138.161388,4.240335,0.651309,3
1,3,rest,rest,left,1787162194.438035,1787162199.576513,1787162220.022108,20.445596,43,1240.004011,1.235714,0.767309,5
1,4,rest,attention,left,1787162220.022108,1787162225.218532,1787162245.438066,20.219534,39,9.762058,1.354485,0.689808,0
1,5,rest,rest,right,1787162245.438066,1787162250.445632,1787162270.575777,20.130145,38,263.372596,4.886386,0.537429,4
1,6,rest,attention,right,1787162270.575777,1787162275.79323,1787162296.225593,20.432362,43,13.70688,1.453946,0.528147,1
1,7,rest,rest,left,1787162296.225593,1787162301.276921,1787162321.488639,20.211718,42,545.504553,2.509446,0.588842,4
1,8,rest,attention,left,1787162321.488639,1787162326.545251,1787162346.774751,20.2295,38,63.212805,1.414613,0.668537,1
1,9,rest,rest,right,1787162346.774751,1787162351.822537,1787162371.944976,20.122439,39,202.170174,3.040633,0.375392,3
1,10,rest,attention,right,1787162371.944976,1787162377.010175,1787162397.232581,20.222406,42,68.49188,1.939499,0.535403,2
1,11,rest,rest,left,1787162397.232581,1787162402.323908,1787162422.825326,20.501418,43,92.920222,1.002177,1.377229,5
1,12,rest,attention,left,1787162422.825326,1787162428.021493,1787162448.035983,20.014489,39,8.540185,2.424357,0.497896,0
1,13,rest,rest,right,1787162448.035983,1787162453.078309,1787162473.225263,20.146954,38,30.284478,1.440269,0.601707,4
1,14,rest,attention,right,1787162473.225263,1787162478.42443,1787162498.871263,20.446833,43,8.942648,1.999188,0.483565,1
1,15,rest,rest,left,1787162498.871263,1787162503.9729,1787162523.974485,20.001585,42,39.769423,2.46863,0.43249,4
1,16,rest,attention,left,1787162523.974485,1787162529.170564,1787162549.343007,20.172442,39,14.144593,3.913743,0.28813,1
1,17,rest,rest,right,1787162549.343007,1787162554.625464,1787162574.824286,20.198823,39,35.136573,1.782303,0.607749,3
1,18,rest,attention,left,1787162574.824286,1787162579.913403,1787162600.121619,20.208216,42,94.270701,2.531501,0.437861,1
1,19,rest,rest,right,1787162600.121619,1787162605.443926,1787162625.524305,20.080378,42,33.67296,2.723395,0.698998,4
