run,trial_idx,phase,wall_ts,a_state,b_state,b_direction
1,0,prompt,1787162996.51446,rest,attention,left
1,1,prompt,1787163021.769117,rest,rest,right
1,2,prompt,1787163047.199269,rest,attention,right
1,3,prompt,1787163072.65345,rest,rest,left
1,4,prompt,1787163097.925741,rest,attention,left
1,5,prompt,1787163123.422709,rest,rest,right
1,6,prompt,1787163148.779664,rest,attention,right
1,7,prompt,1787163174.284186,rest,rest,left
2,0,prompt,1787163296.256521,rest,attention,left
2,1,prompt,1787163322.021639,rest,rest,right
2,2,prompt,1787163347.224688,rest,attention,right
2,3,prompt,1787163372.696151,rest,rest,left
2,4,prompt,1787163398.173225,rest,attention,left
2,5,prompt,1787163423.491931,rest,rest,right
2,6,prompt,1787163448.825137,rest,attention,right
2,7,prompt,1787163474.322638,rest,rest,left
2,8,prompt,1787163499.573864,rest,attention,left
2,9,prompt,1787163524.775086,rest,rest,right
2,10,prompt,1787163550.474594,rest,attention,right
3,0,prompt,1787163717.956062,rest,attention,left
3,1,prompt,1787163743.449107,rest,rest,right
3,2,prompt,1787163769.157374,rest,attention,right
3,3,prompt,1787163794.564876,rest,rest,left
3,4,prompt,1787163820.165962,rest,attention,left
3,5,prompt,1787163847.715297,rest,rest,right
3,6,prompt,1787163873.0754,rest,attention,right
3,7,prompt,1787163898.115215,rest,rest,left
3,8,prompt,1787163923.765826,rest,attention,left
3,9,prompt,1787163948.81582,rest,rest,right
3,10,prompt,1787163974.265738,rest,attention,right
3,11,prompt,1787163999.561969,rest,rest,left
3,12,prompt,1787164024.867043,rest,attention,left
3,13,prompt,1787164050.866024,rest,rest,right
3,14,prompt,1787164076.316096,rest,attention,right
3,15,prompt,1787164101.416316,rest,rest,left
3,16,prompt,1787164126.87598,rest,attention,left
3,17,prompt,1787164152.832651,rest,rest,right
3,18,prompt,1787164178.347121,rest,attention,left
3,19,prompt,1787164203.627946,rest,rest,right
