trial_idx,a_state,b_state,b_direction,trial_start_ts,trial_end_ts,row_ts,frame_ts,cmd_vel_ts,source,role,alpha,theta,beta,tbr,ei,speed_intent,steer_intent,steer_direction,cmd_lin,cmd_ang,is_blink,latency_ms
1,rest,rest,right,1787163748.770203,1787163769.157374,1787163748.866175,1787163748.865194,1787163748.865246,lsl_raw,steering,93.039965,197.316351,50.900445,1.417722,0.422802,0.460135,0.5,1,0.0,0.0,1,0.929
1,rest,rest,right,1787163748.770203,1787163769.157374,1787163749.315578,1787163749.314544,1787163749.314633,lsl_raw,steering,51.410242,69.017058,105.423757,0.654663,0.875414,0.609302,0.554651,1,0.0,0.0,0,0.945
1,rest,rest,right,1787163748.770203,1787163769.157374,1787163749.814619,1787163749.813704,1787163749.813757,lsl_raw,steering,28.93904,34.109519,49.00267,0.696075,0.777221,0.690771,0.595386,1,0.0,0.0,0,0.862
1,rest,rest,right,1787163748.770203,1787163769.157374,1787163750.31585,1787163750.314989,1787163750.315047,lsl_raw,steering,127.493776,174.178306,76.110653,2.288488,0.252296,0.148081,0.5,1,0.0,0.0,0,0.803
1,rest,rest,right,1787163748.770203,1787163769.157374,1787163750.76681,1787163750.765857,1787163750.765919,lsl_raw,steering,11.391767,54.737126,32.392551,1.689806,0.48984,0.019271,0.5,1,0.0,0.0,0,0.89
1,rest,rest,right,1787163748.770203,1787163769.157374,1787163751.215749,1787163751.214791,1787163751.214852,lsl_raw,steering,47.934758,125.997579,30.670096,1.689806,0.48984,0.019271,0.5,1,0.0,0.0,0,0.897
1,rest,rest,right,1787163748.770203,1787163769.157374,1787163751.716599,1787163751.714844,1787163751.715715,lsl_raw,steering,92.57529,239.350857,43.167513,1.689806,0.48984,0.019271,0.5,-1,0.0,0.0,1,0.884
1,rest,rest,right,1787163748.770203,1787163769.157374,1787163752.165557,1787163752.164527,1787163752.164572,lsl_raw,steering,25.074718,137.485395,31.218704,1.689806,0.48984,0.019271,0.5,-1,0.0,0.0,0,0.985
1,rest,rest,right,1787163748.770203,1787163769.157374,1787163752.716646,1787163752.715607,1787163752.715656,lsl_raw,steering,35.133554,78.587832,46.973029,1.689806,0.48984,0.019271,0.5,-1,0.0,0.0,0,0.99
1,rest,rest,right,1787163748.770203,1787163769.157374,1787163753.116019,1787163753.115117,1787163753.115162,lsl_raw,steering,20.056662,71.629306,40.979738,1.689806,0.48984,0.019271,0.5,-1,0.0,0.0,0,0.858
1,rest,rest,right,1787163748.770203,1787163769.157374,1787163753.615844,1787163753.615005,1787163753.615053,lsl_raw,steering,46.164297,52.198791,36.570254,1.427357,0.371788,0.033714,0.5,-1,0.0,0.0,0,0.791
1,rest,rest,right,1787163748.770203,1787163769.157374,1787163754.116204,1787163754.115248,1787163754.115317,lsl_raw,steering,29.818224,74.848834,29.901877,2.503148,0.285686,0.0,0.5,-1,0.0,0.0,0,0.888
1,rest,rest,right,1787163748.770203,1787163769.157374,1787163754.566723,1787163754.565901,1787163754.565958,lsl_raw,steering,15.17449,59.984924,60.855449,0.985695,0.809685,0.0,0.5,-1,0.0,0.0,0,0.765
1,rest,rest,right,1787163748.770203,1787163769.157374,1787163755.015899,1787163755.0151,1787163755.015156,lsl_raw,steering,68.076926,860.396873,143.396348,0.985695,0.809685,0.0,0.5,-1,0.0,0.0,0,0.743
1,rest,rest,right,1787163748.770203,1787163769.157374,1787163755.514357,1787163755.513564,1787163755.513615,lsl_raw,steering,142.963162,541.145058,203.025257,2.665408,0.296774,0.0,0.5,-1,0.0,0.0,0,0.742
1,rest,rest,right,1787163748.770203,1787163769.157374,1787163755.966471,1787163755.965416,1787163755.965483,lsl_raw,steering,88.641004,213.730779,258.944804,0.825391,0.856379,0.0,0.5,-1,0.0,0.0,0,0.988
1,rest,rest,right,1787163748.770203,1787163769.157374,1787163756.464896,1787163756.464064,1787163756.464122,lsl_raw,steering,158.12904,579.763234,394.458206,1.469771,0.534574,0.0,0.5,-1,0.0,0.0,0,0.774
1,rest,rest,right,1787163748.770203,1787163769.157374,1787163756.965059,1787163756.964066,1787163756.964124,lsl_raw,steering,818.904016,1341.246168,723.159096,1.854704,0.334773,0.0,0.5,-1,0.0,0.0,0,0.934
1,rest,rest,right,1787163748.770203,1787163769.157374,1787163759.115321,1787163759.114405,1787163759.114463,lsl_raw,steering,564.819549,570.730354,333.785425,1.709872,0.293942,0.0,0.5,-1,0.0,0.0,0,0.858
1,rest,rest,right,1787163748.770203,1787163769.157374,1787163759.616507,1787163759.615512,1787163759.615575,lsl_raw,steering,214.789728,194.448394,272.492719,0.713591,0.665854,0.165278,0.5,-1,0.0,0.0,0,0.932
1,rest,rest,right,1787163748.770203,1787163769.157374,1787163760.065489,1787163760.064659,1787163760.064716,lsl_raw,steering,146.829284,397.271327,128.252156,0.713591,0.665854,0.165278,0.5,-1,0.0,0.0,0,0.773
1,rest,rest,right,1787163748.770203,1787163769.157374,1787163760.515924,1787163760.514956,1787163760.515022,lsl_raw,steering,582.007207,1906.540111,674.958251,2.824679,0.271226,0.0,0.5,-1,0.0,0.0,0,0.902
