run,trial_idx,phase,wall_ts,a_state,b_state,b_direction
1,0,prompt,1787164359.275415,attention,rest,left
1,1,prompt,1787164384.489327,rest,rest,left
1,2,prompt,1787164409.84351,attention,rest,left
1,3,prompt,1787164435.24635,rest,rest,left
1,4,prompt,1787164460.445287,attention,rest,left
1,5,prompt,1787164485.782455,rest,rest,left
1,6,prompt,1787164511.055156,attention,rest,left
1,7,prompt,1787164536.344735,rest,rest,left
1,8,prompt,1787164561.74925,attention,rest,left
1,9,prompt,1787164587.092916,rest,rest,left
1,10,prompt,1787164612.340649,attention,rest,left
1,11,prompt,1787164637.995687,rest,rest,left
1,12,prompt,1787164663.641578,attention,rest,left
1,13,prompt,1787164689.060988,rest,rest,left
1,14,prompt,1787164714.340555,attention,rest,left
1,15,prompt,1787164739.742186,rest,rest,left
1,16,prompt,1787164764.791484,attention,rest,left
1,17,prompt,1787164790.29184,rest,rest,left
1,18,prompt,1787164815.560769,attention,rest,left
1,19,prompt,1787164840.921844,rest,rest,left
