run,trial_idx,a_state,b_state,b_direction,prompt_ts,start_ts,end_ts,duration_sec,n_samples,mean_alpha,mean_tbr,mean_ei,blink_count
1,0,attention,rest,left,1787165073.781381,1787165078.8185,1787165099.019627,20.201127,39,7.831577,1.279494,0.595082,0
1,1,rest,rest,left,1787165099.019627,1787165104.164285,1787165124.388829,20.224544,39,42.948285,7.106872,0.197724,0
1,2,attention,rest,left,1787165124.388829,1787165129.432374,1787165149.718638,20.286263,42,7.240673,1.472862,0.558122,0
1,3,rest,rest,left,1787165149.718638,1787165154.71897,1787165175.167154,20.448184,43,15.840443,3.156278,0.461588,0
1,4,attention,rest,left,1787165175.167154,1787165180.214044,1787165200.449886,20.235842,39,8.367028,1.410527,0.51596,0
1,5,rest,rest,left,1787165200.449886,1787165205.5036,1787165225.669497,20.165897,38,13.9781,3.400948,0.293697,0
1,6,attention,rest,left,1787165225.669497,1787165230.86861,1787165251.318818,20.450208,43,9.689388,1.650465,0.497307,0
1,7,rest,rest,left,1787165251.318818,1787165256.368927,1787165276.50858,20.139653,43,21.06392,3.278862,0.407257,0
1,8,attention,rest,left,1787165276.50858,1787165281.54002,1787165301.768523,20.228504,39,9.362701,2.143292,0.559407,0
1,9,rest,rest,left,1787165301.768523,1787165307.019557,1787165327.268865,20.249308,39,19.377618,1.865506,0.509656,0
1,10,attention,rest,left,1787165327.268865,1787165332.519266,1787165352.546661,20.027395,43,10.480774,1.751214,0.612257,0
1,11,rest,rest,left,1787165352.546661,1787165357.940069,1787165378.186423,20.246354,43,60.307371,4.038147,0.399989,0
1,12,attention,rest,left,1787165378.186423,1787165383.524186,1787165403.805166,20.28098,39,8.330526,1.188198,0.618577,0
1,13,rest,rest,left,1787165403.805166,1787165409.118703,1787165429.519484,20.40078,39,31.338221,3.917738,0.430901,0
1,14,attention,rest,left,1787165429.519484,1787165434.767697,1787165455.068684,20.300987,43,8.643616,1.539254,0.543671,0
1,15,rest,rest,left,1787165455.068684,1787165460.118186,1787165480.26117,20.142983,43,74.153735,9.182956,0.194595,0
1,16,attention,rest,left,1787165480.26117,1787165485.318117,1787165505.615954,20.297837,39,6.789048,1.066807,0.633274,0
1,17,rest,rest,left,1787165505.615954,1787165510.754632,1787165531.151455,20.396824,39,74.866504,2.982746,0.433518,0
1,18,attention,rest,left,1787165531.151455,1787165536.396092,1787165556.66993,20.273839,43,190.705422,1.337909,0.578607,0
1,19,rest,rest,left,1787165556.66993,1787165561.86905,1787165582.018252,20.149203,43,75.398869,12.191751,0.152743,0
