run,trial_idx,phase,wall_ts,a_state,b_state,b_direction
1,0,prompt,1786978696.850693,rest,attention,left
1,1,prompt,1786978721.950474,rest,rest,right
1,2,prompt,1786978747.436676,rest,attention,right
1,3,prompt,1786978772.558066,rest,rest,left
1,4,prompt,1786978797.636383,rest,attention,left
1,5,prompt,1786978822.812364,rest,rest,right
1,6,prompt,1786978848.037439,rest,attention,right
1,7,prompt,1786978873.157691,rest,rest,left
1,8,prompt,1786978898.24114,rest,attention,left
1,9,prompt,1786978923.370277,rest,rest,right
1,10,prompt,1786978948.53486,rest,attention,right
1,11,prompt,1786978973.745154,rest,rest,left
1,12,prompt,1786978999.046552,rest,attention,left
1,13,prompt,1786979024.534671,rest,rest,right
1,14,prompt,1786979049.691961,rest,attention,right
1,15,prompt,1786979074.884938,rest,rest,left
1,16,prompt,1786979100.185224,rest,attention,left
1,17,prompt,1786979125.487765,rest,rest,right
1,18,prompt,1786979150.83514,rest,attention,right
1,19,prompt,1786979176.120821,rest,rest,left
