run,trial_idx,phase,wall_ts,a_state,b_state,b_direction
1,0,prompt,1787041286.867477,rest,attention,left
1,1,prompt,1787041312.549318,rest,rest,right
1,2,prompt,1787041337.855128,rest,attention,right
1,3,prompt,1787041363.149585,rest,rest,left
1,4,prompt,1787041388.454499,rest,attention,left
1,5,prompt,1787041413.701588,rest,rest,right
1,6,prompt,1787041439.04969,rest,attention,right
1,7,prompt,1787041464.452253,rest,rest,left
1,8,prompt,1787041490.726696,rest,attention,left
1,9,prompt,1787041516.020723,rest,rest,right
1,10,prompt,1787041541.105496,rest,attention,right
1,11,prompt,1787041566.42451,rest,rest,left
1,12,prompt,1787041593.282863,rest,attention,left
1,13,prompt,1787041618.677046,rest,rest,right
1,14,prompt,1787041644.30019,rest,attention,right
1,15,prompt,1787041669.401657,rest,rest,left
1,16,prompt,1787041695.685596,rest,attention,left
1,17,prompt,1787041721.045748,rest,rest,right
1,18,prompt,1787041746.447615,rest,attention,right
1,19,prompt,1787041771.643135,rest,rest,left
