run,trial_idx,a_state,b_state,b_direction,prompt_ts,start_ts,end_ts,duration_sec,n_samples,mean_alpha,mean_tbr,mean_ei,blink_count
1,0,rest,attention,left,1787042899.666197,1787042904.913225,1787042924.98923,20.076005,38,69.991427,1.22857,0.599138,2
1,1,rest,rest,right,1787042924.98923,1787042930.153044,1787042950.290193,20.137149,43,53581.846927,52.454785,0.058361,7
1,2,rest,attention,right,1787042950.290193,1787042957.479697,1787042977.792035,20.312338,43,27375.231545,3.331426,0.310109,2
1,3,rest,rest,left,1787042977.792035,1787042982.817519,1787043002.941394,20.123875,38,1365.628762,2.98016,0.764852,5
1,4,rest,attention,left,1787043002.941394,1787043008.140329,1787043028.54096,20.400631,39,9.937699,1.548473,0.543398,0
1,5,rest,rest,right,1787043028.54096,1787043033.740471,1787043053.89109,20.150619,43,4361.76353,6.777383,0.604111,5
1,6,rest,attention,right,1787043053.89109,1787043060.298745,1787043080.547767,20.249022,42,1870.871729,1.662208,0.50068,2
1,7,rest,rest,left,1787043080.547767,1787043085.78937,1787043106.08651,20.29714,39,2542.158032,10.201992,0.54701,4
1,8,rest,attention,left,1787043106.08651,1787043111.290269,1787043131.322932,20.032663,39,13478.887195,2.491966,0.348223,3
1,9,rest,rest,right,1787043131.322932,1787043136.333645,1787043156.339605,20.005961,43,2196.728541,2.091268,0.626116,1
1,10,rest,attention,right,1787043156.339605,1787043162.984046,1787043183.141106,20.157061,42,90.7284,1.59695,0.477445,0
1,11,rest,rest,left,1787043183.141106,1787043188.3416,1787043208.377689,20.036089,39,2116.168339,28.364675,0.831864,3
1,12,rest,attention,left,1787043208.377689,1787043213.440126,1787043233.790691,20.350566,39,2613.018978,1.622814,0.543929,2
1,13,rest,rest,right,1787043233.790691,1787043238.990283,1787043259.241941,20.251658,43,130.539332,2.512444,0.548852,2
1,14,rest,attention,right,1787043259.241941,1787043265.785194,1787043285.789363,20.004169,43,12.629249,2.702085,0.337677,1
1,15,rest,rest,left,1787043285.789363,1787043290.940341,1787043311.340343,20.400002,39,913.148549,3.572227,0.346998,2
1,16,rest,attention,left,1787043311.340343,1787043316.477272,1787043336.491169,20.013897,38,17.653164,2.916799,0.271181,1
1,17,rest,rest,right,1787043336.491169,1787043341.641009,1787043361.789505,20.148497,43,146.032642,3.307653,0.398717,1
1,18,rest,attention,right,1787043361.789505,1787043368.490026,1787043388.940944,20.450918,43,71.424339,1.374189,0.553734,1
1,19,rest,rest,left,1787043388.940944,1787043393.986503,1787043414.220017,20.233514,39,6549.199312,5.452686,0.289601,6
