session_id,run,channel,n_attention,n_rest,hit_rate,fa_rate,d_prime,auc,mean_score_attention,mean_score_rest,mean_latency_attention,mean_latency_rest,dir_hit_rate,dir_fa_rate,clean_switch_rate,avg_toggles_per_switch
G_s1_alpha_single_2026-08-19_1787129459,1,speed,10,10,1.0,0.0,9.506849,1.0,0.096381,0.002248,0.8529,0.91785,,,,
G_s2_tbr_single_2026-08-19_1787131088,1,speed,10,10,1.0,0.0,9.506849,1.0,0.029528,0.000954,0.856927,0.851436,,,,
G_s3_alpha_single_2026-08-19_1787150186,1,steering,10,10,1.0,0.4,5.006771,0.98,0.56491,0.501829,0.823715,0.811021,1.0,0.0,1.0,0.875
G_s4_tbr_single_2026-08-19_1787152096,1,steering,10,10,0.9,0.6,1.028204,0.79,0.530466,0.507681,0.799091,0.793363,0.875,0.0,0.625,1.375
G_s5_alpha_single_2026-08-20_1787212832,1,steering,10,10,0.9,0.8,0.43993,0.89,0.594253,0.513962,0.850168,0.859269,1.0,0.0,0.875,1.0
G_s6_tbr_single_2026-08-20_1787215014,1,steering,10,10,1.0,0.7,4.229024,0.92,0.568046,0.507057,0.751788,0.773875,1.0,0.0,0.875,0.875
G_s7_alpha_single_2026-08-20_1787215669,1,speed,10,10,0.7,0.0,5.277825,0.935,0.014015,0.000288,0.785419,0.785231,,,,
G_s8_tbr_single_2026-08-20_1787216516,1,speed,10,10,1.0,0.0,9.506849,1.0,0.078793,0.0005,0.756149,0.787072,,,,
W_G_s1_alpha_dual_2026-08-23_1787472417,1,steering,10,10,0.8,0.0,5.595046,0.9,0.517966,0.5,0.76487,0.736712,1.0,0.0,0.5,2.25
W_G_s1_alpha_dual_2026-08-23_1787472417,1,speed,12,8,0.5,0.125,1.150349,0.760417,0.028452,0.00193,0.767308,0.726016,,,,
W_G_s2_tbr_dual_2026-08-23_1787473771,1,steering,10,10,0.7,0.2,1.366022,0.78,0.546832,0.503523,0.730594,0.679027,1.0,0.0,0.25,2.5
W_G_s2_tbr_dual_2026-08-23_1787473771,1,speed,12,8,0.583333,0.125,1.360777,0.833333,0.018383,0.001636,0.707237,0.70117,,,,
W_s10_alpha_single_2026-08-18_1787048651,1,speed,10,10,0.8,0.0,5.595046,0.86,0.084689,0.001722,0.74797,0.770544,,,,
W_s11_tbr_single_2026-08-18_1787049699,1,speed,10,10,1.0,0.3,5.277825,0.98,0.064599,0.005794,0.711044,0.752021,,,,
W_s12_ei_single_2026-08-18_1787050398,1,speed,10,10,1.0,0.4,5.006771,0.85,0.055114,0.011342,0.737697,0.772658,,,,
W_s13_tbr_single_2026-08-18_1787071143,1,steering,10,10,1.0,1.0,0.0,0.98,0.644536,0.552269,0.79004,0.809942,0.875,0.0,0.875,0.5
W_s14_ei_single_2026-08-18_1787072036,1,steering,10,10,1.0,0.9,3.471873,0.69,0.587332,0.547806,0.806301,0.818909,0.75,1.0,0.5,0.875
W_s15_alpha_single_wet_2026-08-19_1787162099,1,steering,10,10,1.0,0.4,5.006771,1.0,0.6305,0.502728,0.763562,0.81007,1.0,0.0,0.875,0.5
W_s16_tbr_single_wet_2026-08-19_1787162982,1,steering,4,3,1.0,1.0,0.0,0.5,0.663052,0.66056,0.760105,0.760761,1.0,,1.0,0.666667
W_s16_tbr_single_wet_2026-08-19_1787162982,2,steering,5,5,1.0,0.8,3.911803,0.72,0.611968,0.564531,0.770593,0.804897,1.0,,1.0,0.5
W_s16_tbr_single_wet_2026-08-19_1787162982,3,steering,10,10,0.9,0.8,0.43993,0.75,0.546658,0.519826,0.816082,0.817163,1.0,0.0,1.0,0.375
W_s17_alpha_single_wet_2026-08-19_1787164357,1,speed,10,10,0.6,0.0,5.006771,1.0,0.015075,0.0,0.841432,0.826679,,,,
W_s18_tbr_single_wet_2026-08-19_1787165067,1,speed,10,10,1.0,0.0,9.506849,1.0,0.025251,0.000263,0.837159,0.864578,,,,
W_s1_alpha_single_2026-08-17_1786963963,1,steering,10,10,1.0,0.3,5.277825,1.0,0.577843,0.500558,0.874726,0.906685,0.888889,,0.666667,1.222222
W_s2_tbr_single_2026-08-17_1786978657,1,steering,10,10,0.9,0.4,1.534899,0.84,0.520783,0.502358,0.789757,0.79487,0.555556,,0.111111,2.111111
W_s3_ei_single_2026-08-17_1786981123,1,steering,10,10,1.0,0.9,3.471873,0.82,0.588367,0.540797,0.807122,0.807188,0.555556,,0.222222,1.444444
W_s4_alpha_single_2026-08-17_1786983342,1,speed,10,10,1.0,0.0,9.506849,1.0,0.079929,0.000274,0.860678,0.904646,,,,
W_s5_tbr_single_2026-08-17_1786985490,1,speed,10,10,1.0,0.0,9.506849,1.0,0.049008,0.001383,4.824792,0.962289,,,,
W_s6_ei_single_2026-08-17_1786986102,1,speed,10,10,0.5,0.1,1.281552,0.815,0.009744,0.00181,0.915419,0.933754,,,,
W_s7_alpha_single_2026-08-18_1787041241,1,steering,10,10,1.0,0.6,4.500077,0.97,0.590605,0.505291,0.763889,0.778063,1.0,,0.555556,1.666667
W_s8_tbr_single_2026-08-18_1787042889,1,steering,10,10,0.8,0.8,0.0,0.66,0.541113,0.512631,0.771815,0.78018,0.888889,,0.777778,0.666667
W_s9_ei_single_2026-08-18_1787045325,1,steering,10,10,0.8,0.9,-0.43993,0.39,0.514899,0.524906,0.787537,0.791852,1.0,,0.777778,1.111111
