session_id,date,subject,subject_b,device_mode,metric,electrode,roles,run,trial_idx,a_state,b_state,b_direction,speed_intent,steer_intent,steer_direction,clean_switch,is_blink,latency_ms,mean_alpha,mean_tbr,mean_ei,blink_count
W_G_s1_alpha_dual_2026-08-23_1787472417,2026-08-23,W,G,dual,alpha,,steering/speed,1,0,attention,attention,left,0.144247,0.510433,1,0,1,0.785952,315.605014,6.496824,0.353905,4.0
W_G_s1_alpha_dual_2026-08-23_1787472417,2026-08-23,W,G,dual,alpha,,steering/speed,1,1,attention,rest,left,0.0,0.5,1,,1,0.774785,336.480077,12.487482,0.253643,3.0
W_G_s1_alpha_dual_2026-08-23_1787472417,2026-08-23,W,G,dual,alpha,,steering/speed,1,2,rest,attention,right,0.166821,0.529276,1,0,1,0.75091,1426.489882,11.378958,0.298065,1.0
W_G_s1_alpha_dual_2026-08-23_1787472417,2026-08-23,W,G,dual,alpha,,steering/speed,1,3,attention,rest,right,0.0,0.5,1,,1,0.784927,1541.141473,11.275478,0.288592,5.0
W_G_s1_alpha_dual_2026-08-23_1787472417,2026-08-23,W,G,dual,alpha,,steering/speed,1,4,rest,rest,left,0.0,0.5,1,,1,0.767892,3333.43621,20.599328,0.145181,4.0
W_G_s1_alpha_dual_2026-08-23_1787472417,2026-08-23,W,G,dual,alpha,,steering/speed,1,5,attention,attention,right,0.216611,0.527561,1,0,1,0.767165,39.584456,3.992008,0.443612,1.0
W_G_s1_alpha_dual_2026-08-23_1787472417,2026-08-23,W,G,dual,alpha,,steering/speed,1,6,attention,attention,left,0.020339,0.500283,1,0,1,0.796819,3095.23228,12.339118,0.343464,5.0
W_G_s1_alpha_dual_2026-08-23_1787472417,2026-08-23,W,G,dual,alpha,,steering/speed,1,7,rest,attention,left,0.019416,0.500265,1,0,1,0.801244,7788.575557,25.187956,0.140093,2.0
W_G_s1_alpha_dual_2026-08-23_1787472417,2026-08-23,W,G,dual,alpha,,steering/speed,1,8,attention,rest,right,0.052847,0.508129,1,,1,0.774582,75.458408,10.287543,0.363738,1.0
W_G_s1_alpha_dual_2026-08-23_1787472417,2026-08-23,W,G,dual,alpha,,steering/speed,1,9,attention,rest,left,0.027772,0.5,1,,1,0.772165,2211.700609,34.628107,0.254067,5.0
W_G_s1_alpha_dual_2026-08-23_1787472417,2026-08-23,W,G,dual,alpha,,steering/speed,1,10,attention,attention,left,0.159803,0.508953,-1,0,0,0.779566,70.691312,4.557652,0.365943,0.0
W_G_s1_alpha_dual_2026-08-23_1787472417,2026-08-23,W,G,dual,alpha,,steering/speed,1,11,attention,attention,right,0.248969,0.521756,1,0,1,0.725084,57.423015,13.467905,0.338348,3.0
W_G_s1_alpha_dual_2026-08-23_1787472417,2026-08-23,W,G,dual,alpha,,steering/speed,1,12,rest,attention,right,0.055318,0.500076,1,0,1,0.776367,98.153865,4.970494,0.245054,2.0
W_G_s1_alpha_dual_2026-08-23_1787472417,2026-08-23,W,G,dual,alpha,,steering/speed,1,13,rest,rest,right,0.028312,0.5,1,,1,0.786038,256.510871,8.367698,0.232772,4.0
W_G_s1_alpha_dual_2026-08-23_1787472417,2026-08-23,W,G,dual,alpha,,steering/speed,1,14,attention,rest,right,0.146784,0.521687,1,,1,0.767361,54.552106,9.291219,0.341842,2.0
W_G_s1_alpha_dual_2026-08-23_1787472417,2026-08-23,W,G,dual,alpha,,steering/speed,1,15,attention,rest,left,0.241655,0.539014,1,,1,0.706205,158.046081,6.051433,0.352945,1.0
W_G_s1_alpha_dual_2026-08-23_1787472417,2026-08-23,W,G,dual,alpha,,steering/speed,1,16,rest,rest,right,0.028478,0.502372,1,,1,0.702119,2232.158186,25.29153,0.144853,6.0
W_G_s1_alpha_dual_2026-08-23_1787472417,2026-08-23,W,G,dual,alpha,,steering/speed,1,17,attention,attention,right,0.210523,0.545216,1,0,1,0.773081,65.057771,9.328196,0.459562,1.0
W_G_s1_alpha_dual_2026-08-23_1787472417,2026-08-23,W,G,dual,alpha,,steering/speed,1,18,rest,attention,left,0.137215,0.507905,1,0,1,0.692512,735.650287,6.658062,0.242521,1.0
W_G_s1_alpha_dual_2026-08-23_1787472417,2026-08-23,W,G,dual,alpha,,steering/speed,1,19,rest,rest,left,0.015953,0.5,1,,1,0.531049,3919.551918,27.800929,0.074085,7.0
W_G_s2_tbr_dual_2026-08-23_1787473771,2026-08-23,W,G,dual,tbr,,steering/speed,1,0,rest,attention,right,0.25247,0.537335,1,0,1,0.753165,453.502246,21.778347,0.253585,2.0
W_G_s2_tbr_dual_2026-08-23_1787473771,2026-08-23,W,G,dual,tbr,,steering/speed,1,1,rest,attention,left,0.38856,0.555137,1,0,1,0.755,49.626401,2.717821,0.395338,2.0
W_G_s2_tbr_dual_2026-08-23_1787473771,2026-08-23,W,G,dual,tbr,,steering/speed,1,2,attention,attention,left,0.367002,0.577567,-1,0,0,0.730083,45.036465,6.612567,0.34175,0.0
W_G_s2_tbr_dual_2026-08-23_1787473771,2026-08-23,W,G,dual,tbr,,steering/speed,1,3,rest,attention,left,0.016469,0.500918,1,0,1,0.776928,679.995982,10.624338,0.190373,4.0
W_G_s2_tbr_dual_2026-08-23_1787473771,2026-08-23,W,G,dual,tbr,,steering/speed,1,4,attention,attention,right,0.0,0.5,1,0,1,0.735641,18350.150505,24.601958,0.15956,5.0
W_G_s2_tbr_dual_2026-08-23_1787473771,2026-08-23,W,G,dual,tbr,,steering/speed,1,5,attention,rest,left,0.007156,0.5,1,,1,0.789282,68.951187,7.83969,0.203627,3.0
W_G_s2_tbr_dual_2026-08-23_1787473771,2026-08-23,W,G,dual,tbr,,steering/speed,1,6,attention,rest,left,0.049505,0.500229,1,,1,0.726169,1327.684847,25.485384,0.222518,5.0
W_G_s2_tbr_dual_2026-08-23_1787473771,2026-08-23,W,G,dual,tbr,,steering/speed,1,7,attention,rest,right,0.056576,0.506923,1,,1,0.784699,68.431804,3.896971,0.277079,3.0
W_G_s2_tbr_dual_2026-08-23_1787473771,2026-08-23,W,G,dual,tbr,,steering/speed,1,8,attention,attention,right,0.012539,0.5,1,0,1,0.742304,515.052892,9.959388,0.226241,1.0
W_G_s2_tbr_dual_2026-08-23_1787473771,2026-08-23,W,G,dual,tbr,,steering/speed,1,9,attention,rest,right,0.010326,0.5,1,,1,0.775392,643.161723,35.349066,0.215544,3.0
W_G_s2_tbr_dual_2026-08-23_1787473771,2026-08-23,W,G,dual,tbr,,steering/speed,1,10,rest,attention,right,0.261698,0.528039,1,0,1,0.766325,7317.414374,7.721024,0.239654,3.0
W_G_s2_tbr_dual_2026-08-23_1787473771,2026-08-23,W,G,dual,tbr,,steering/speed,1,11,attention,attention,left,0.065331,0.506392,1,0,1,0.726482,1345.937192,7.695421,0.303959,5.0
W_G_s2_tbr_dual_2026-08-23_1787473771,2026-08-23,W,G,dual,tbr,,steering/speed,1,12,rest,rest,right,0.0,0.5,1,,1,0.584797,3866.44823,25.78636,0.110988,4.0
W_G_s2_tbr_dual_2026-08-23_1787473771,2026-08-23,W,G,dual,tbr,,steering/speed,1,13,attention,attention,left,0.177617,0.509246,1,0,1,0.71457,1063.540549,4.807971,0.385135,4.0
W_G_s2_tbr_dual_2026-08-23_1787473771,2026-08-23,W,G,dual,tbr,,steering/speed,1,14,attention,rest,right,0.146099,0.510358,1,,1,0.605169,792.617886,14.914606,0.312618,4.0
W_G_s2_tbr_dual_2026-08-23_1787473771,2026-08-23,W,G,dual,tbr,,steering/speed,1,15,rest,rest,left,0.0,0.5,1,,1,0.671723,1083.075042,28.25595,0.093646,3.0
W_G_s2_tbr_dual_2026-08-23_1787473771,2026-08-23,W,G,dual,tbr,,steering/speed,1,16,attention,rest,left,0.105617,0.509881,1,,1,0.55162,4328.414999,17.927398,0.251824,1.0
W_G_s2_tbr_dual_2026-08-23_1787473771,2026-08-23,W,G,dual,tbr,,steering/speed,1,17,rest,rest,left,0.05271,0.510637,1,,1,0.693468,849.792384,18.961037,0.207798,3.0
W_G_s2_tbr_dual_2026-08-23_1787473771,2026-08-23,W,G,dual,tbr,,steering/speed,1,18,attention,attention,right,0.281758,0.535973,1,1,0,0.605438,1581.106403,3.735425,0.356026,0.0
W_G_s2_tbr_dual_2026-08-23_1787473771,2026-08-23,W,G,dual,tbr,,steering/speed,1,19,rest,rest,right,0.009964,0.5,1,,1,0.607952,24629.10746,31.738284,0.064543,6.0
