session_id,date,subject,subject_b,device_mode,metric,electrode,roles,run,trial_idx,a_state,b_state,b_direction,speed_intent,steer_intent,steer_direction,is_blink,latency_ms,mean_alpha,mean_tbr,mean_ei,blink_count
W_s1_alpha_single_2026-08-17_1786963963,2026-08-17,W,,single,alpha,,steering,1,0,rest,attention,left,0.823119,0.630783,-1,1,0.811975,31.643489,2.04094,0.409268,1.0
W_s1_alpha_single_2026-08-17_1786963963,2026-08-17,W,,single,alpha,,steering,1,1,rest,rest,right,0.032883,0.5,-1,1,0.907769,111.7424,15.30386,0.232781,4.0
W_s1_alpha_single_2026-08-17_1786963963,2026-08-17,W,,single,alpha,,steering,1,2,rest,attention,right,0.755805,0.620795,1,1,0.8749,36.774476,3.57993,0.233964,1.0
W_s1_alpha_single_2026-08-17_1786963963,2026-08-17,W,,single,alpha,,steering,1,3,rest,rest,left,0.0,0.5,1,1,0.895976,790.5669,37.727967,0.13078,6.0
W_s1_alpha_single_2026-08-17_1786963963,2026-08-17,W,,single,alpha,,steering,1,4,rest,attention,left,0.566556,0.56046,-1,1,0.895875,47.863247,3.745199,0.247165,1.0
W_s1_alpha_single_2026-08-17_1786963963,2026-08-17,W,,single,alpha,,steering,1,5,rest,rest,right,0.262899,0.500635,1,1,0.912718,49.95165,32.265943,0.283739,3.0
W_s1_alpha_single_2026-08-17_1786963963,2026-08-17,W,,single,alpha,,steering,1,6,rest,attention,right,0.811708,0.590263,1,1,0.889725,54.788554,3.641366,0.344773,3.0
W_s1_alpha_single_2026-08-17_1786963963,2026-08-17,W,,single,alpha,,steering,1,7,rest,rest,left,0.0,0.5,1,1,0.875561,576.336874,22.385293,0.35252,5.0
W_s1_alpha_single_2026-08-17_1786963963,2026-08-17,W,,single,alpha,,steering,1,8,rest,attention,left,0.594913,0.547126,-1,1,0.879262,58.803138,3.680816,0.26744,1.0
W_s1_alpha_single_2026-08-17_1786963963,2026-08-17,W,,single,alpha,,steering,1,9,rest,rest,right,0.182425,0.504548,-1,1,0.911795,837.900453,32.41062,0.173087,4.0
W_s1_alpha_single_2026-08-17_1786963963,2026-08-17,W,,single,alpha,,steering,1,10,rest,attention,right,0.649119,0.597512,1,1,0.847359,20.538631,6.830123,0.237789,1.0
W_s1_alpha_single_2026-08-17_1786963963,2026-08-17,W,,single,alpha,,steering,1,11,rest,rest,left,0.10735,0.5,1,1,0.849381,117.004566,7.56996,0.169511,5.0
W_s1_alpha_single_2026-08-17_1786963963,2026-08-17,W,,single,alpha,,steering,1,12,rest,attention,left,0.62328,0.56307,-1,1,0.88619,46.389773,4.453431,0.198022,2.0
W_s1_alpha_single_2026-08-17_1786963963,2026-08-17,W,,single,alpha,,steering,1,13,rest,rest,right,0.056682,0.5,1,1,0.899875,695.375597,15.077607,0.140347,3.0
W_s1_alpha_single_2026-08-17_1786963963,2026-08-17,W,,single,alpha,,steering,1,14,rest,attention,right,0.687002,0.593637,1,0,0.8855,19.981863,3.51232,0.316895,0.0
W_s1_alpha_single_2026-08-17_1786963963,2026-08-17,W,,single,alpha,,steering,1,15,rest,rest,left,0.247929,0.500399,1,1,0.940293,147.155764,5.69386,0.346911,5.0
W_s1_alpha_single_2026-08-17_1786963963,2026-08-17,W,,single,alpha,,steering,1,16,rest,attention,left,0.214697,0.508199,-1,1,0.909122,112.797993,8.6248,0.20041,4.0
W_s1_alpha_single_2026-08-17_1786963963,2026-08-17,W,,single,alpha,,steering,1,17,rest,rest,right,0.033037,0.5,1,1,0.977308,15843.852519,21.439295,0.124031,2.0
W_s1_alpha_single_2026-08-17_1786963963,2026-08-17,W,,single,alpha,,steering,1,18,rest,attention,right,0.449177,0.56659,1,1,0.86735,23.632735,4.463367,0.271681,1.0
W_s1_alpha_single_2026-08-17_1786963963,2026-08-17,W,,single,alpha,,steering,1,19,rest,rest,left,0.0,0.5,-1,1,0.896175,298.629612,12.724378,0.186696,5.0
