session_id,date,subject,subject_b,device_mode,metric,electrode,roles,run,trial_idx,a_state,b_state,b_direction,speed_intent,steer_intent,steer_direction,clean_switch,is_blink,latency_ms,mean_alpha,mean_tbr,mean_ei,blink_count
W_s15_alpha_single_wet_2026-08-19_1787162099,2026-08-19,W,,single,alpha,wet,steering,1,0,rest,attention,left,0.747379,0.66797,-1,1,0,0.767816,9.170319,1.774994,0.456233,0.0
W_s15_alpha_single_wet_2026-08-19_1787162099,2026-08-19,W,,single,alpha,wet,steering,1,1,rest,rest,right,0.077931,0.508708,-1,,0,0.789897,47.465134,2.431475,0.528898,0.0
W_s15_alpha_single_wet_2026-08-19_1787162099,2026-08-19,W,,single,alpha,wet,steering,1,2,rest,attention,right,0.308755,0.571808,1,0,1,0.767953,138.161388,4.240335,0.651309,3.0
W_s15_alpha_single_wet_2026-08-19_1787162099,2026-08-19,W,,single,alpha,wet,steering,1,3,rest,rest,left,0.0,0.5,-1,,1,0.78407,1240.004011,1.235714,0.767309,5.0
W_s15_alpha_single_wet_2026-08-19_1787162099,2026-08-19,W,,single,alpha,wet,steering,1,4,rest,attention,left,0.673211,0.658941,-1,1,0,0.701077,9.762058,1.354485,0.689808,0.0
W_s15_alpha_single_wet_2026-08-19_1787162099,2026-08-19,W,,single,alpha,wet,steering,1,5,rest,rest,right,0.154935,0.50678,-1,,1,0.821553,263.372596,4.886386,0.537429,4.0
W_s15_alpha_single_wet_2026-08-19_1787162099,2026-08-19,W,,single,alpha,wet,steering,1,6,rest,attention,right,0.400482,0.571128,1,1,1,0.753698,13.70688,1.453946,0.528147,1.0
W_s15_alpha_single_wet_2026-08-19_1787162099,2026-08-19,W,,single,alpha,wet,steering,1,7,rest,rest,left,0.003991,0.5,1,,1,0.854786,545.504553,2.509446,0.588842,4.0
W_s15_alpha_single_wet_2026-08-19_1787162099,2026-08-19,W,,single,alpha,wet,steering,1,8,rest,attention,left,0.588613,0.590952,-1,1,1,0.804947,63.212805,1.414613,0.668537,1.0
W_s15_alpha_single_wet_2026-08-19_1787162099,2026-08-19,W,,single,alpha,wet,steering,1,9,rest,rest,right,0.090484,0.50113,-1,,1,0.832,202.170174,3.040633,0.375392,3.0
W_s15_alpha_single_wet_2026-08-19_1787162099,2026-08-19,W,,single,alpha,wet,steering,1,10,rest,attention,right,0.685667,0.644004,1,1,1,0.76131,68.49188,1.939499,0.535403,2.0
W_s15_alpha_single_wet_2026-08-19_1787162099,2026-08-19,W,,single,alpha,wet,steering,1,11,rest,rest,left,0.0,0.5,1,,1,0.78807,92.920222,1.002177,1.377229,5.0
W_s15_alpha_single_wet_2026-08-19_1787162099,2026-08-19,W,,single,alpha,wet,steering,1,12,rest,attention,left,0.814609,0.690153,-1,1,0,0.768231,8.540185,2.424357,0.497896,0.0
W_s15_alpha_single_wet_2026-08-19_1787162099,2026-08-19,W,,single,alpha,wet,steering,1,13,rest,rest,right,0.326184,0.510662,1,,1,0.786342,30.284478,1.440269,0.601707,4.0
W_s15_alpha_single_wet_2026-08-19_1787162099,2026-08-19,W,,single,alpha,wet,steering,1,14,rest,attention,right,0.845855,0.703527,1,1,1,0.787372,8.942648,1.999188,0.483565,1.0
W_s15_alpha_single_wet_2026-08-19_1787162099,2026-08-19,W,,single,alpha,wet,steering,1,15,rest,rest,left,0.009383,0.5,1,,1,0.800143,39.769423,2.46863,0.43249,4.0
W_s15_alpha_single_wet_2026-08-19_1787162099,2026-08-19,W,,single,alpha,wet,steering,1,16,rest,attention,left,0.34939,0.575215,-1,1,1,0.763974,14.144593,3.913743,0.28813,1.0
W_s15_alpha_single_wet_2026-08-19_1787162099,2026-08-19,W,,single,alpha,wet,steering,1,17,rest,rest,right,0.043639,0.5,1,,1,0.831795,35.136573,1.782303,0.607749,3.0
W_s15_alpha_single_wet_2026-08-19_1787162099,2026-08-19,W,,single,alpha,wet,steering,1,18,rest,attention,left,0.56793,0.631301,-1,1,1,0.759238,94.270701,2.531501,0.437861,1.0
W_s15_alpha_single_wet_2026-08-19_1787162099,2026-08-19,W,,single,alpha,wet,steering,1,19,rest,rest,right,0.112057,0.5,1,,1,0.812048,33.67296,2.723395,0.698998,4.0
W_s16_tbr_single_wet_2026-08-19_1787162982,2026-08-19,W,,single,tbr,wet,steering,1,0,rest,attention,left,0.572816,0.606932,-1,1,1,0.805053,27.991062,1.928485,0.452251,1.0
W_s16_tbr_single_wet_2026-08-19_1787162982,2026-08-19,W,,single,tbr,wet,steering,1,1,rest,rest,right,0.707684,0.652685,1,,1,0.740487,279.887926,1.992891,0.70697,2.0
W_s16_tbr_single_wet_2026-08-19_1787162982,2026-08-19,W,,single,tbr,wet,steering,1,2,rest,attention,right,0.607957,0.618044,1,1,1,0.737326,13.943139,1.871684,0.472224,1.0
W_s16_tbr_single_wet_2026-08-19_1787162982,2026-08-19,W,,single,tbr,wet,steering,1,3,rest,rest,left,0.733186,0.668738,1,,1,0.737103,78.604892,1.388026,0.852219,2.0
W_s16_tbr_single_wet_2026-08-19_1787162982,2026-08-19,W,,single,tbr,wet,steering,1,4,rest,attention,left,0.992141,0.713176,-1,1,1,0.746342,436.468318,0.978423,0.785993,1.0
W_s16_tbr_single_wet_2026-08-19_1787162982,2026-08-19,W,,single,tbr,wet,steering,1,5,rest,rest,right,0.862858,0.660256,1,,1,0.804692,181.912613,1.431082,2.044358,2.0
W_s16_tbr_single_wet_2026-08-19_1787162982,2026-08-19,W,,single,tbr,wet,steering,1,6,rest,attention,right,0.997881,0.714057,1,1,1,0.751698,985.873205,0.954517,0.949657,1.0
W_s16_tbr_single_wet_2026-08-19_1787162982,2026-08-19,W,,single,tbr,wet,steering,2,0,rest,attention,left,0.35911,0.557709,-1,1,1,0.777359,79.857858,2.443665,0.419981,1.0
W_s16_tbr_single_wet_2026-08-19_1787162982,2026-08-19,W,,single,tbr,wet,steering,2,1,rest,rest,right,0.52448,0.574828,-1,,1,0.779238,47.845227,1.62862,0.628029,1.0
W_s16_tbr_single_wet_2026-08-19_1787162982,2026-08-19,W,,single,tbr,wet,steering,2,2,rest,attention,right,0.40794,0.55738,1,1,0,0.760548,8.344721,1.684289,0.475919,0.0
W_s16_tbr_single_wet_2026-08-19_1787162982,2026-08-19,W,,single,tbr,wet,steering,2,3,rest,rest,left,0.801877,0.653286,-1,,1,0.779615,35.531026,1.226228,0.642547,1.0
W_s16_tbr_single_wet_2026-08-19_1787162982,2026-08-19,W,,single,tbr,wet,steering,2,4,rest,attention,left,0.899394,0.681952,-1,1,1,0.794769,53.358816,1.088397,0.743236,2.0
W_s16_tbr_single_wet_2026-08-19_1787162982,2026-08-19,W,,single,tbr,wet,steering,2,5,rest,rest,right,0.212389,0.534198,-1,,1,0.843024,207.239605,8.984939,0.463944,4.0
W_s16_tbr_single_wet_2026-08-19_1787162982,2026-08-19,W,,single,tbr,wet,steering,2,6,rest,attention,right,0.784445,0.653514,1,1,1,0.726395,70.687701,1.140721,0.933375,1.0
W_s16_tbr_single_wet_2026-08-19_1787162982,2026-08-19,W,,single,tbr,wet,steering,2,7,rest,rest,left,0.010366,0.5,-1,,1,0.799026,53.074502,2.816222,0.295056,1.0
W_s16_tbr_single_wet_2026-08-19_1787162982,2026-08-19,W,,single,tbr,wet,steering,2,8,rest,attention,left,0.607627,0.609286,-1,1,0,0.793895,12.873164,1.496534,0.55845,0.0
W_s16_tbr_single_wet_2026-08-19_1787162982,2026-08-19,W,,single,tbr,wet,steering,2,9,rest,rest,right,0.388783,0.560345,-1,,1,0.823581,41.460034,1.895435,0.535406,2.0
W_s16_tbr_single_wet_2026-08-19_1787162982,2026-08-19,W,,single,tbr,wet,steering,3,0,rest,attention,left,0.192083,0.510851,-1,0,1,0.876436,70.116615,4.711137,0.749649,2.0
W_s16_tbr_single_wet_2026-08-19_1787162982,2026-08-19,W,,single,tbr,wet,steering,3,1,rest,rest,right,0.061236,0.503847,-1,,1,0.919051,199.130487,1.777084,0.561686,3.0
W_s16_tbr_single_wet_2026-08-19_1787162982,2026-08-19,W,,single,tbr,wet,steering,3,2,rest,attention,right,0.421301,0.530381,1,1,1,0.827487,25.757761,1.073012,0.819792,2.0
W_s16_tbr_single_wet_2026-08-19_1787162982,2026-08-19,W,,single,tbr,wet,steering,3,3,rest,rest,left,0.004407,0.5,-1,,1,0.856767,88.672359,2.187208,0.317624,3.0
W_s16_tbr_single_wet_2026-08-19_1787162982,2026-08-19,W,,single,tbr,wet,steering,3,4,rest,attention,left,0.012861,0.5,-1,1,0,0.777233,10.200239,1.986463,0.407534,0.0
W_s16_tbr_single_wet_2026-08-19_1787162982,2026-08-19,W,,single,tbr,wet,steering,3,5,rest,rest,right,0.43599,0.536872,-1,,1,0.783795,734.366983,0.992479,0.847006,2.0
W_s16_tbr_single_wet_2026-08-19_1787162982,2026-08-19,W,,single,tbr,wet,steering,3,6,rest,attention,right,0.35726,0.546201,1,1,1,0.773026,14.655088,1.870275,0.71008,1.0
W_s16_tbr_single_wet_2026-08-19_1787162982,2026-08-19,W,,single,tbr,wet,steering,3,7,rest,rest,left,0.0,0.5,1,,1,0.81614,4187.523576,87.71221,0.243843,4.0
W_s16_tbr_single_wet_2026-08-19_1787162982,2026-08-19,W,,single,tbr,wet,steering,3,8,rest,attention,left,0.383811,0.537551,-1,1,1,0.778286,8.904238,1.50242,0.688724,1.0
W_s16_tbr_single_wet_2026-08-19_1787162982,2026-08-19,W,,single,tbr,wet,steering,3,9,rest,rest,right,0.252832,0.533622,1,,1,0.763744,118.105224,2.068279,0.577996,5.0
W_s16_tbr_single_wet_2026-08-19_1787162982,2026-08-19,W,,single,tbr,wet,steering,3,10,rest,attention,right,0.265429,0.515206,1,1,0,0.827769,9.907093,1.282385,0.663726,0.0
W_s16_tbr_single_wet_2026-08-19_1787162982,2026-08-19,W,,single,tbr,wet,steering,3,11,rest,rest,left,0.177261,0.51454,-1,,1,0.834,286.678686,1.590445,0.579386,2.0
W_s16_tbr_single_wet_2026-08-19_1787162982,2026-08-19,W,,single,tbr,wet,steering,3,12,rest,attention,left,0.597302,0.599939,-1,1,1,0.82831,23.450483,0.952028,0.857354,1.0
