session_id,date,subject,subject_b,device_mode,metric,electrode,roles,run,trial_idx,a_state,b_state,b_direction,speed_intent,steer_intent,steer_direction,is_blink,latency_ms,mean_alpha,mean_tbr,mean_ei,blink_count
W_s10_alpha_single_2026-08-18_1787048651,2026-08-18,W,,single,alpha,,speed,1,0,attention,rest,left,0.0,0.5,1,0,0.738425,3213.33888,1.597841,0.58924,0.0
W_s10_alpha_single_2026-08-18_1787048651,2026-08-18,W,,single,alpha,,speed,1,1,rest,rest,left,0.037814,0.500697,1,0,0.815725,1780.888446,5.175738,0.336301,0.0
W_s10_alpha_single_2026-08-18_1787048651,2026-08-18,W,,single,alpha,,speed,1,2,attention,rest,left,0.0,0.5,1,0,0.762951,4715.974983,2.160115,0.815701,0.0
W_s10_alpha_single_2026-08-18_1787048651,2026-08-18,W,,single,alpha,,speed,1,3,rest,rest,left,0.0,0.5,1,0,0.7985,46973.160494,12.342156,0.36952,0.0
W_s10_alpha_single_2026-08-18_1787048651,2026-08-18,W,,single,alpha,,speed,1,4,attention,rest,left,0.330589,0.538193,1,0,0.740525,102.974057,2.161105,0.668513,0.0
W_s10_alpha_single_2026-08-18_1787048651,2026-08-18,W,,single,alpha,,speed,1,5,rest,rest,left,0.018713,0.5,1,0,0.759951,391.889181,3.458153,0.354998,0.0
W_s10_alpha_single_2026-08-18_1787048651,2026-08-18,W,,single,alpha,,speed,1,6,attention,rest,left,0.562373,0.606262,1,0,0.825075,424.163593,0.969334,0.874923,0.0
W_s10_alpha_single_2026-08-18_1787048651,2026-08-18,W,,single,alpha,,speed,1,7,rest,rest,left,0.0,0.5,1,0,0.855829,1603.172283,6.225864,0.17893,0.0
W_s10_alpha_single_2026-08-18_1787048651,2026-08-18,W,,single,alpha,,speed,1,8,attention,rest,left,0.585852,0.61731,1,0,0.76175,25.46693,1.442582,0.482152,0.0
W_s10_alpha_single_2026-08-18_1787048651,2026-08-18,W,,single,alpha,,speed,1,9,rest,rest,left,0.0,0.5,1,0,0.75261,558.692913,4.868256,0.427886,0.0
